Excited state,Excitation energy,Oscillator strength,dipole moment,Total dipole,TPA cross section(sos),TPA cross section(dI),Transition dipole moment
0,0.0,-,[-0.000199  0.001307 -0.010351],0.026522,-,-,-
1,8.72687,0.434,[-0.000256  0.000173 -0.013272],0.033743,0.0,0.0,[-1.033805  0.980789  0.011317]
2,9.060367,0.01,[-0.002281  0.010121 -0.02302 ],0.064179,0.17,0.0,[-0.148424  0.150601  0.006363]
3,9.17266,0.025,[0.006868 0.03137  0.015854],0.091028,0.08,0.04,[ 0.027573  0.003965 -0.334733]
4,9.837053,0.002,[-0.031982 -0.020635  0.012176],0.101572,4.99,3.07,[-0.059506  0.05735   0.004532]
5,10.213349,0.0,[ 0.014081 -0.015198 -0.004684],0.053989,5.96,2.68,[0.00682  0.009509 0.001389]
6,10.536367,0.0,[ 0.007537 -0.010755 -0.007777],0.038794,6.87,9.04,[-0.007291  0.03674   0.004614]
7,11.561929,0.0,[0.007388 0.020874 0.002149],0.056546,32.03,59.21,[ 0.004178 -0.004931 -0.018696]
8,12.164812,0.0,[ 0.008619 -0.003818 -0.002793],0.024989,0.04,0.03,[-0.003647 -0.003498 -0.000371]
9,12.416393,0.0,[ 0.006225 -0.003805  0.000263],0.018557,0.12,0.09,[ 0.001134  0.000836 -0.001233]
10,12.65126,0.422,[-0.02873  -0.010585  0.001138],0.077877,0.02,0.02,[ 0.866058 -0.781176  0.007769]
1->2:,0.333497,0.0,-,-,-,-,[-0.002809 -0.00428   0.00202 ]
1->3:,0.445789,0.0,-,-,-,-,[ 0.01202  -0.020044  0.000981]
2->3:,0.112292,0.0,-,-,-,-,[-0.277178 -0.293466 -0.026542]
1->4:,1.110182,0.0,-,-,-,-,[0.024529 0.024393 0.005507]
2->4:,0.776685,0.0,-,-,-,-,[-0.011165 -0.009644 -0.009551]
3->4:,0.664393,0.066,-,-,-,-,[1.421102 1.425556 0.130649]
1->5:,1.486479,0.001,-,-,-,-,[-0.012459  0.024505 -0.132524]
2->5:,1.152982,0.0,-,-,-,-,[ 0.009497 -0.004884 -0.015783]
3->5:,1.040689,0.06,-,-,-,-,[-1.076883e+00  1.091798e+00  6.570000e-04]
4->5:,0.376296,0.0,-,-,-,-,[ 0.007201 -0.014826  0.010994]
1->6:,1.809497,0.001,-,-,-,-,[-0.012312  0.025035 -0.142461]
2->6:,1.476,0.0,-,-,-,-,[ 0.012243 -0.011181 -0.023   ]
3->6:,1.363707,0.08,-,-,-,-,[-1.111246  1.07883  -0.001968]
4->6:,0.699315,0.0,-,-,-,-,[ 0.012758 -0.013315  0.009965]
5->6:,0.323018,0.0,-,-,-,-,[ 0.008568 -0.009018  0.01622 ]
1->7:,2.835059,0.001,-,-,-,-,[-0.078115 -0.080483 -0.007419]
2->7:,2.501562,0.0,-,-,-,-,[-0.011199 -0.025939 -0.000443]
3->7:,2.389269,0.0,-,-,-,-,[ 7.73e-04  2.97e-04 -7.00e-05]
4->7:,1.724876,0.0,-,-,-,-,[ 0.005481 -0.004025  0.000316]
5->7:,1.34858,0.0,-,-,-,-,[-0.00581   0.003805 -0.000341]
6->7:,1.025562,0.0,-,-,-,-,[-0.004934 -0.001122 -0.000577]
1->8:,3.437942,0.002,-,-,-,-,[-0.095709  0.120157  0.000667]
2->8:,3.104445,0.024,-,-,-,-,[ 0.40949  -0.391814 -0.001055]
3->8:,2.992153,0.0,-,-,-,-,[ 0.013219 -0.020116 -0.018935]
4->8:,2.32776,0.185,-,-,-,-,[ 1.322946 -1.221082  0.009683]
5->8:,1.951463,0.036,-,-,-,-,[-0.565278 -0.655766 -0.055753]
6->8:,1.628445,0.065,-,-,-,-,[-0.881301 -0.916563 -0.082333]
7->8:,0.602883,0.0,-,-,-,-,[ 0.002454 -0.002223 -0.003476]
1->9:,3.689523,0.001,-,-,-,-,[-9.3794e-02  7.1430e-02 -8.7000e-05]
2->9:,3.356026,0.128,-,-,-,-,[ 0.898851 -0.862322  0.000906]
3->9:,3.243733,0.0,-,-,-,-,[0.006208 0.004843 0.022699]
4->9:,2.57934,0.145,-,-,-,-,[-1.124971  1.017367 -0.010727]
5->9:,2.203044,0.103,-,-,-,-,[0.939686 1.012084 0.089227]
6->9:,1.880026,0.042,-,-,-,-,[0.645556 0.694579 0.061313]
7->9:,0.854464,0.0,-,-,-,-,[-0.000688  0.003822 -0.031079]
8->9:,0.251581,0.0,-,-,-,-,[-0.001828  0.001518 -0.022489]
1->10:,3.92439,0.0,-,-,-,-,[-0.001403 -0.000758 -0.002455]
2->10:,3.590893,0.0,-,-,-,-,[0.006479 0.006729 0.006056]
3->10:,3.478601,0.0,-,-,-,-,[-0.003639 -0.004146 -0.000413]
4->10:,2.814208,0.0,-,-,-,-,[0.0017   0.001338 0.002914]
5->10:,2.437911,0.0,-,-,-,-,[ 0.002411  0.001053 -0.036367]
6->10:,2.114893,0.0,-,-,-,-,[ 0.002104  0.001514 -0.040582]
7->10:,1.089331,0.111,-,-,-,-,[1.447168 1.426163 0.131966]
8->10:,0.486448,0.0,-,-,-,-,[ 2.931e-03 -2.819e-03 -3.300e-05]
9->10:,0.234867,0.0,-,-,-,-,[ 0.004434 -0.001173  0.000451]
