Excited state,Excitation energy,Oscillator strength,dipole moment,Total dipole,TPA cross section(sos),TPA cross section(dI),Transition dipole moment
0,0.0,-,[ 0.000202 -0.000201  0.000609],0.001709,-,-,-
1,8.737911,0.446,[-0.       -0.00038   0.000733],0.002099,0.0,0.0,[-1.046688  0.993319  0.009141]
2,9.059477,0.0,[0.012205 0.014868 0.002848],0.049425,0.17,0.0,[-6.3000e-05  1.8020e-03 -1.1006e-02]
3,9.161718,0.025,[0.031373 0.021383 0.001928],0.096626,0.0,0.0,[ 0.014926  0.020416 -0.332115]
4,9.829831,0.0,[-0.041648 -0.046574 -0.005625],0.159449,4.96,3.06,[ 1.500e-05  6.880e-04 -5.885e-03]
5,10.204988,0.0,[-7.139e-03 -1.630e-04  1.100e-05],0.01815,5.55,2.38,[-6.10e-05  3.10e-05 -5.71e-04]
6,10.529505,0.0,[-0.008449 -0.003622 -0.000191],0.02337,7.12,9.2,[-0.00129   0.001274  0.001028]
7,11.552237,0.0,[0.028966 0.023351 0.002705],0.094818,31.93,59.08,[ 0.009084 -0.003434  0.000318]
8,12.169622,0.0,[0.006068 0.008248 0.00088 ],0.026123,0.0,0.0,[0.000153 0.00017  0.000122]
9,12.420922,0.0,[0.003361 0.005478 0.000542],0.016394,0.0,0.0,[ 3.200e-05  6.700e-05 -1.633e-03]
10,12.644214,0.42,[-0.033034 -0.034139 -0.003828],0.121136,0.0,0.01,[-0.86321   0.781534  0.005996]
1->2:,0.321566,0.0,-,-,-,-,[-0.000206 -0.000148 -0.000381]
1->3:,0.423807,0.0,-,-,-,-,[-1.02e-03  9.40e-04 -6.50e-05]
2->3:,0.102241,0.0,-,-,-,-,[0.280115 0.291111 0.030433]
1->4:,1.09192,0.0,-,-,-,-,[ 0.001315  0.001404 -0.002028]
2->4:,0.770354,0.0,-,-,-,-,[-0.040755 -0.039938 -0.003767]
3->4:,0.668113,0.067,-,-,-,-,[-1.410563 -1.436318 -0.151889]
1->5:,1.467077,0.001,-,-,-,-,[ 0.006934  0.006674 -0.127617]
2->5:,1.14551,0.0,-,-,-,-,[-0.027109  0.028733  0.000339]
3->5:,1.043269,0.057,-,-,-,-,[-1.057333  1.049708  0.012609]
4->5:,0.375156,0.0,-,-,-,-,[-0.023442  0.020574  0.000191]
1->6:,1.791594,0.001,-,-,-,-,[-0.007872 -0.007795  0.146735]
2->6:,1.470028,0.0,-,-,-,-,[ 0.0376   -0.035407 -0.000205]
3->6:,1.367787,0.084,-,-,-,-,[ 1.137093 -1.096631 -0.011665]
4->6:,0.699674,0.0,-,-,-,-,[ 0.027503 -0.025128 -0.000247]
5->6:,0.324517,0.0,-,-,-,-,[ 0.003557 -0.000868  0.001053]
1->7:,2.814326,0.001,-,-,-,-,[-0.078561 -0.083126 -0.008643]
2->7:,2.49276,0.0,-,-,-,-,[ 3.32e-04 -5.05e-04 -2.30e-05]
3->7:,2.390519,0.0,-,-,-,-,[-5.3e-05 -2.6e-05  7.4e-05]
4->7:,1.722406,0.0,-,-,-,-,[ 2.91e-04 -2.57e-04 -7.30e-05]
5->7:,1.34725,0.0,-,-,-,-,[ 8.70e-05  5.40e-05 -4.59e-04]
6->7:,1.022732,0.0,-,-,-,-,[-0.000211 -0.000207  0.000465]
1->8:,3.431711,0.0,-,-,-,-,[-0.000313 -0.001462 -0.000106]
2->8:,3.110144,0.023,-,-,-,-,[-0.392959  0.376238  0.003776]
3->8:,3.007903,0.0,-,-,-,-,[ 0.034235 -0.030914 -0.00013 ]
4->8:,2.33979,0.194,-,-,-,-,[-1.348401  1.252719  0.011221]
5->8:,1.964634,0.037,-,-,-,-,[-0.577171 -0.650931 -0.065906]
6->8:,1.640117,0.07,-,-,-,-,[0.908324 0.956599 0.099685]
7->8:,0.617384,0.0,-,-,-,-,[ 6.00e-06  2.58e-04 -2.55e-03]
1->9:,3.683011,0.0,-,-,-,-,[1.03e-03 4.50e-05 7.66e-04]
2->9:,3.361444,0.132,-,-,-,-,[-0.91895   0.87237   0.008562]
3->9:,3.259204,0.0,-,-,-,-,[ 0.012176 -0.013907 -0.000358]
4->9:,2.59109,0.136,-,-,-,-,[ 1.079883 -0.989468 -0.008236]
5->9:,2.215934,0.098,-,-,-,-,[0.910122 0.978828 0.101095]
6->9:,1.891417,0.042,-,-,-,-,[-0.644958 -0.692618 -0.07158 ]
7->9:,0.868684,0.0,-,-,-,-,[ 0.00155   0.001747 -0.031174]
8->9:,0.2513,0.0,-,-,-,-,[-0.001718 -0.006585  0.000853]
1->10:,3.906304,0.0,-,-,-,-,[ 7.900e-04  1.027e-03 -1.000e-06]
2->10:,3.584737,0.0,-,-,-,-,[-0.000524 -0.000608  0.004383]
3->10:,3.482496,0.0,-,-,-,-,[ 1.20e-05  2.00e-06 -3.29e-04]
4->10:,2.814383,0.0,-,-,-,-,[-0.000185 -0.000218  0.002302]
5->10:,2.439227,0.0,-,-,-,-,[-0.001637 -0.002137  0.035415]
6->10:,2.114709,0.0,-,-,-,-,[ 0.001935  0.002475 -0.041326]
7->10:,1.091977,0.111,-,-,-,-,[-1.435113 -1.438925 -0.15318 ]
8->10:,0.474593,0.0,-,-,-,-,[ 2.00e-06 -1.40e-05 -1.37e-04]
9->10:,0.223293,0.0,-,-,-,-,[ 0.000134  0.000102 -0.000501]
