Excited state,Excitation energy,Oscillator strength,dipole moment,Total dipole,TPA cross section(sos),TPA cross section(dI),Transition dipole moment
0,0.0,-,[-0.000946 -0.001096  0.01117 ],0.028629,-,-,-
1,8.726459,0.433,[-0.001228 -0.002426  0.013955],0.036138,0.0,0.0,[ 1.031721 -0.980716 -0.00692 ]
2,9.055469,0.011,[-0.01763  -0.002151  0.024433],0.076777,0.17,0.0,[ 0.154642 -0.157598 -0.006952]
3,9.165815,0.025,[ 0.00709  -0.000468 -0.015012],0.042215,0.09,0.05,[ 0.002192 -0.042088  0.332255]
4,9.828318,0.002,[ 0.010948  0.008634 -0.015154],0.052341,4.94,3.04,[-0.062001  0.06065   0.002575]
5,10.206819,0.0,[-0.001685 -0.004273  0.005045],0.017342,5.9,2.64,[-0.007188 -0.009672 -0.002356]
6,10.531402,0.0,[-0.002368 -0.004394  0.008131],0.024251,6.8,8.96,[ 0.008133 -0.038928 -0.002275]
7,11.549719,0.0,[ 0.001007 -0.005747 -0.001163],0.015121,31.93,59.36,[0.002258 0.007633 0.020162]
8,12.160721,0.0,[0.006794 0.000509 0.003823],0.019856,0.04,0.04,[-0.004122 -0.003527  0.      ]
9,12.412697,0.0,[0.004498 0.001886 0.000282],0.012418,0.13,0.1,[-0.001098 -0.000983  0.001772]
10,12.637367,0.422,[ 0.000727  0.011939 -0.003399],0.031606,0.02,0.03,[-0.832779  0.817667  0.023213]
1->2:,0.32901,0.0,-,-,-,-,[-0.002655 -0.006275 -0.002797]
1->3:,0.439356,0.0,-,-,-,-,[-0.013434  0.022187  0.001981]
2->3:,0.110346,0.0,-,-,-,-,[0.27477  0.299041 0.035962]
1->4:,1.101859,0.0,-,-,-,-,[-0.02695  -0.027318 -0.001937]
2->4:,0.772849,0.0,-,-,-,-,[-0.018074 -0.024538 -0.012443]
3->4:,0.662503,0.066,-,-,-,-,[1.39459  1.444703 0.17349 ]
1->5:,1.48036,0.001,-,-,-,-,[-0.027434  0.011297  0.131662]
2->5:,1.15135,0.0,-,-,-,-,[-0.018411  0.01462   0.016822]
3->5:,1.041004,0.06,-,-,-,-,[ 1.095952 -1.072733 -0.024611]
4->5:,0.378501,0.0,-,-,-,-,[-0.001897 -0.001826  0.011376]
1->6:,1.804942,0.001,-,-,-,-,[-0.027515  0.009119  0.141897]
2->6:,1.475932,0.0,-,-,-,-,[-0.020225  0.017447  0.024385]
3->6:,1.365586,0.08,-,-,-,-,[ 1.120591 -1.063835 -0.023124]
4->6:,0.703083,0.0,-,-,-,-,[-0.001827 -0.002709  0.009986]
5->6:,0.324582,0.0,-,-,-,-,[-0.001884 -0.002011 -0.017442]
1->7:,2.82326,0.001,-,-,-,-,[0.078534 0.078918 0.009466]
2->7:,2.49425,0.0,-,-,-,-,[0.011279 0.027333 0.003683]
3->7:,2.383904,0.0,-,-,-,-,[0.001108 0.000833 0.001531]
4->7:,1.721401,0.0,-,-,-,-,[ 0.005674 -0.004349 -0.000425]
5->7:,1.3429,0.0,-,-,-,-,[ 0.006192 -0.003874  0.000159]
6->7:,1.018318,0.0,-,-,-,-,[0.005284 0.00121  0.000491]
1->8:,3.434262,0.002,-,-,-,-,[ 0.099183 -0.127008 -0.003268]
2->8:,3.105252,0.024,-,-,-,-,[-0.406436  0.39117   0.006569]
3->8:,2.994906,0.0,-,-,-,-,[-0.009161  0.001913  0.018971]
4->8:,2.332403,0.185,-,-,-,-,[ 1.30991  -1.232192 -0.031317]
5->8:,1.953902,0.036,-,-,-,-,[0.581168 0.638664 0.075048]
6->8:,1.629319,0.065,-,-,-,-,[0.892873 0.900724 0.109379]
7->8:,0.611002,0.0,-,-,-,-,[ 0.001941 -0.003006  0.003403]
1->9:,3.686238,0.001,-,-,-,-,[-0.098331  0.074826  0.000611]
2->9:,3.357228,0.128,-,-,-,-,[ 0.894601 -0.86843  -0.019559]
3->9:,3.246882,0.0,-,-,-,-,[ 0.00703  -0.015548  0.022315]
4->9:,2.584379,0.145,-,-,-,-,[ 1.109758 -1.030252 -0.027073]
5->9:,2.205878,0.104,-,-,-,-,[0.959912 0.993681 0.119525]
6->9:,1.881296,0.041,-,-,-,-,[0.654168 0.682306 0.081754]
7->9:,0.862978,0.0,-,-,-,-,[ 0.003753 -0.000205 -0.03109 ]
8->9:,0.251976,0.0,-,-,-,-,[-0.000458  0.010239 -0.02352 ]
1->10:,3.910908,0.0,-,-,-,-,[-0.001248 -0.001398  0.001554]
2->10:,3.581897,0.0,-,-,-,-,[0.007052 0.007638 0.001249]
3->10:,3.471552,0.0,-,-,-,-,[0.003978 0.004304 0.000853]
4->10:,2.809049,0.0,-,-,-,-,[-0.002382 -0.00097  -0.001415]
5->10:,2.430548,0.0,-,-,-,-,[-0.001255 -0.003585  0.036315]
6->10:,2.105965,0.0,-,-,-,-,[-0.002048 -0.003669  0.040224]
7->10:,1.087648,0.11,-,-,-,-,[-1.398823 -1.468463 -0.175617]
8->10:,0.476646,0.0,-,-,-,-,[-0.003023  0.003206  0.000187]
9->10:,0.224669,0.0,-,-,-,-,[ 0.004589 -0.000912  0.000274]
