Excited state,Excitation energy,Oscillator strength,dipole moment,Total dipole,TPA cross section(sos),TPA cross section(dI),Transition dipole moment
0,0.0,-,[-0.00074  -0.000215  0.000321],0.002121,-,-,-
1,8.7369,0.446,[-0.00063  -0.000347  0.000409],0.002102,0.0,0.0,[ 1.045999 -0.993618 -0.009194]
2,9.061781,0.0,[-0.01588   0.007325  0.000525],0.044469,0.16,0.0,[ 0.002008 -0.001863 -0.003889]
3,9.174601,0.025,[ 0.003962 -0.013142 -0.001096],0.035,0.0,0.0,[-0.015248 -0.020547  0.334979]
4,9.841085,0.0,[0.014774 0.009839 0.000755],0.045157,5.03,3.1,[ 0.000872 -0.000554 -0.00305 ]
5,10.216413,0.0,[-0.003693 -0.003897 -0.000218],0.013658,5.86,2.6,[-9.000e-06 -2.300e-05  2.272e-03]
6,10.538588,0.0,[-0.004213 -0.004375 -0.000195],0.015447,7.04,9.17,[ 0.000637 -0.000913 -0.000743]
7,11.568067,0.0,[ 0.002711 -0.009049 -0.000444],0.024036,32.32,59.05,[0.004148 0.013402 0.001234]
8,12.171382,0.0,[0.009674 0.002925 0.000717],0.025753,0.0,0.0,[0.000132 0.000133 0.000168]
9,12.422437,0.0,[0.006385 0.003504 0.000528],0.01856,0.0,0.0,[-0.000122 -0.000161  0.003321]
10,12.659548,0.421,[0.000375 0.014289 0.000745],0.03638,0.01,0.0,[ 0.883861 -0.75949  -0.003595]
1->2:,0.324881,0.0,-,-,-,-,[-8.90e-05 -1.43e-04 -7.70e-04]
1->3:,0.437701,0.0,-,-,-,-,[-0.000586  0.000585  0.000673]
2->3:,0.11282,0.0,-,-,-,-,[0.276221 0.284333 0.030032]
1->4:,1.104185,0.0,-,-,-,-,[ 0.001223  0.001245 -0.004454]
2->4:,0.779304,0.0,-,-,-,-,[0.0081   0.016036 0.001646]
3->4:,0.666485,0.067,-,-,-,-,[-1.438429 -1.411559 -0.152199]
1->5:,1.479513,0.001,-,-,-,-,[ 0.006959  0.007073 -0.131572]
2->5:,1.154632,0.0,-,-,-,-,[ 0.010166 -0.008182 -0.000221]
3->5:,1.041812,0.059,-,-,-,-,[-1.05014   1.093902  0.015504]
4->5:,0.375328,0.0,-,-,-,-,[-3.289e-03 -1.525e-03 -8.900e-05]
1->6:,1.801688,0.001,-,-,-,-,[-0.007632 -0.007935  0.145431]
2->6:,1.476807,0.0,-,-,-,-,[-0.012154  0.013256  0.000518]
3->6:,1.363987,0.082,-,-,-,-,[ 1.116831 -1.096029 -0.012491]
4->6:,0.697503,0.0,-,-,-,-,[0.002919 0.002583 0.000169]
5->6:,0.322175,0.0,-,-,-,-,[0.004934 0.003869 0.001034]
1->7:,2.831167,0.001,-,-,-,-,[0.078627 0.083517 0.008697]
2->7:,2.506286,0.0,-,-,-,-,[-8.600e-05  4.100e-04  1.432e-03]
3->7:,2.393466,0.0,-,-,-,-,[ 3.70e-05  3.60e-05 -1.04e-04]
4->7:,1.726982,0.0,-,-,-,-,[-0.000207  0.000127  0.000483]
5->7:,1.351654,0.0,-,-,-,-,[-8.20e-05  3.30e-05 -1.62e-04]
6->7:,1.029479,0.0,-,-,-,-,[1.23e-04 7.70e-05 2.21e-04]
1->8:,3.434481,0.0,-,-,-,-,[-0.000797  0.002    -0.001815]
2->8:,3.1096,0.024,-,-,-,-,[ 0.40719  -0.393641 -0.00412 ]
3->8:,2.996781,0.0,-,-,-,-,[ 8.198e-03 -3.629e-03 -6.900e-05]
4->8:,2.330296,0.19,-,-,-,-,[ 1.348345 -1.225965 -0.009464]
5->8:,1.954968,0.037,-,-,-,-,[0.555115 0.67275  0.066374]
6->8:,1.632793,0.067,-,-,-,-,[-0.892079 -0.937116 -0.098074]
7->8:,0.603314,0.0,-,-,-,-,[ 5.500e-05  2.660e-04 -2.972e-03]
1->9:,3.685537,0.0,-,-,-,-,[ 0.001499 -0.000709 -0.000541]
2->9:,3.360656,0.13,-,-,-,-,[-0.909904  0.865336  0.008501]
3->9:,3.247837,0.0,-,-,-,-,[-3.126e-03  8.625e-03  8.700e-05]
4->9:,2.581352,0.141,-,-,-,-,[ 1.120039 -0.990112 -0.006231]
5->9:,2.206024,0.1,-,-,-,-,[0.913591 1.004739 0.103128]
6->9:,1.883849,0.041,-,-,-,-,[-0.637472 -0.698141 -0.071781]
7->9:,0.85437,0.0,-,-,-,-,[-0.001554 -0.001775  0.031166]
8->9:,0.251056,0.0,-,-,-,-,[-0.001961  0.011752 -0.00019 ]
1->10:,3.922648,0.0,-,-,-,-,[ 3.75e-04  5.99e-04 -2.10e-05]
2->10:,3.597767,0.0,-,-,-,-,[-0.00073  -0.000836  0.009556]
3->10:,3.484947,0.0,-,-,-,-,[-3.30e-05 -4.10e-05 -3.49e-04]
4->10:,2.818463,0.0,-,-,-,-,[-0.000294 -0.00035   0.004869]
5->10:,2.443135,0.0,-,-,-,-,[-0.001666 -0.002158  0.035885]
6->10:,2.12096,0.0,-,-,-,-,[ 0.001925  0.002452 -0.040989]
7->10:,1.091481,0.111,-,-,-,-,[1.474722 1.397704 0.153088]
8->10:,0.488167,0.0,-,-,-,-,[-3.90e-05  2.30e-05  2.48e-04]
9->10:,0.237111,0.0,-,-,-,-,[9.10e-05 1.00e-05 1.47e-04]
