Excited state,Excitation energy,Oscillator strength,dipole moment,Total dipole,TPA cross section(sos),TPA cross section(dI),Transition dipole moment
0,0.0,-,[-0.001598  0.001351  0.000293],0.005371,-,-,-
1,8.737893,0.446,[-0.001229  0.001146  0.000368],0.004372,0.0,0.0,[ 1.046671 -0.993294 -0.009133]
2,9.05936,0.0,[-1.9163e-02  5.1780e-03  5.8000e-05],0.050454,0.17,0.0,[-0.005595  0.005025  0.005468]
3,9.161587,0.025,[-0.028103  0.002702 -0.001548],0.071868,0.0,0.0,[-0.014835 -0.020538  0.332264]
4,9.82969,0.0,[0.013309 0.029415 0.001972],0.082215,4.96,3.06,[ 0.00225  -0.001849 -0.003101]
5,10.204903,0.0,[ 2.2510e-02 -1.9664e-02  4.3000e-05],0.075971,5.56,2.38,[2.59e-04 2.84e-04 7.70e-05]
6,10.529417,0.0,[ 0.016529 -0.011872  0.000265],0.051731,7.11,9.2,[-0.000112 -0.001412  0.004211]
7,11.552009,0.0,[-0.020625 -0.003689 -0.001213],0.053345,31.94,59.08,[-0.003753  0.003139  0.000667]
8,12.169575,0.0,[ 0.008376 -0.01227  -0.000285],0.037768,0.0,0.0,[-0.000168 -0.000149 -0.000128]
9,12.420874,0.0,[ 0.006778 -0.008908 -0.000181],0.028455,0.0,0.0,[-4.200e-05 -6.100e-05  1.652e-03]
10,12.643934,0.42,[0.000713 0.029954 0.001733],0.076285,0.01,0.0,[ 0.863571 -0.781138 -0.00595 ]
1->2:,0.321468,0.0,-,-,-,-,[0.000116 0.000248 0.000409]
1->3:,0.423694,0.0,-,-,-,-,[-0.000359  0.000515  0.001562]
2->3:,0.102227,0.0,-,-,-,-,[-0.279233 -0.290546 -0.030457]
1->4:,1.091798,0.0,-,-,-,-,[ 0.001326  0.001332 -0.002047]
2->4:,0.77033,0.0,-,-,-,-,[-0.017058 -0.021877 -0.002343]
3->4:,0.668103,0.067,-,-,-,-,[-1.411647 -1.437169 -0.15196 ]
1->5:,1.46701,0.001,-,-,-,-,[ 0.006937  0.006687 -0.127628]
2->5:,1.145543,0.0,-,-,-,-,[-0.011373  0.016251  0.000971]
3->5:,1.043316,0.057,-,-,-,-,[-1.057708  1.050215  0.012621]
4->5:,0.375213,0.0,-,-,-,-,[ 0.014446 -0.005547  0.000737]
1->6:,1.791524,0.001,-,-,-,-,[-0.00784  -0.007818  0.146713]
2->6:,1.470056,0.0,-,-,-,-,[ 0.019252 -0.016472 -0.000911]
3->6:,1.36783,0.084,-,-,-,-,[ 1.137488 -1.097115 -0.011663]
4->6:,0.699727,0.0,-,-,-,-,[-0.011635  0.012079 -0.000193]
5->6:,0.324514,0.0,-,-,-,-,[-0.013234  0.012677  0.000583]
1->7:,2.814116,0.001,-,-,-,-,[0.078542 0.083108 0.008635]
2->7:,2.492649,0.0,-,-,-,-,[-0.000353 -0.000751 -0.002217]
3->7:,2.390422,0.0,-,-,-,-,[ 5.3e-05  4.4e-05 -4.0e-05]
4->7:,1.722319,0.0,-,-,-,-,[-1.74e-04  8.40e-05  4.41e-04]
5->7:,1.347106,0.0,-,-,-,-,[-0.000184  0.000157 -0.000231]
6->7:,1.022592,0.0,-,-,-,-,[0.000148 0.       0.000246]
1->8:,3.431682,0.0,-,-,-,-,[ 0.003449 -0.004121  0.000191]
2->8:,3.110214,0.023,-,-,-,-,[ 0.393589 -0.376977 -0.003778]
3->8:,3.007988,0.0,-,-,-,-,[-2.3097e-02  7.1500e-03  1.7000e-05]
4->8:,2.339884,0.194,-,-,-,-,[-1.348405  1.252707  0.011214]
5->8:,1.964672,0.037,-,-,-,-,[-0.577093 -0.650973 -0.065912]
6->8:,1.640158,0.07,-,-,-,-,[0.908145 0.956501 0.099672]
7->8:,0.617566,0.0,-,-,-,-,[-1.000e-05 -2.640e-04  2.551e-03]
1->9:,3.682982,0.0,-,-,-,-,[ 0.003411 -0.002716 -0.000373]
2->9:,3.361514,0.132,-,-,-,-,[ 0.918984 -0.872126 -0.008558]
3->9:,3.259288,0.0,-,-,-,-,[0.00337  0.016909 0.000394]
4->9:,2.591184,0.136,-,-,-,-,[ 1.080053 -0.989648 -0.00823 ]
5->9:,2.215972,0.098,-,-,-,-,[0.910165 0.978977 0.101109]
6->9:,1.891458,0.042,-,-,-,-,[-0.644831 -0.692597 -0.071573]
7->9:,0.868866,0.0,-,-,-,-,[-0.001574 -0.001764  0.031173]
8->9:,0.2513,0.0,-,-,-,-,[-0.000559  0.002672  0.000756]
1->10:,3.906042,0.0,-,-,-,-,[ 0.000145 -0.000691 -0.000101]
2->10:,3.584574,0.0,-,-,-,-,[ 0.00054   0.000593 -0.004465]
3->10:,3.482347,0.0,-,-,-,-,[-0.000148 -0.000166  0.000222]
4->10:,2.814244,0.0,-,-,-,-,[-0.00019  -0.000212  0.002341]
5->10:,2.439031,0.0,-,-,-,-,[-0.00163  -0.002128  0.035423]
6->10:,2.114517,0.0,-,-,-,-,[ 0.001928  0.002467 -0.04132 ]
7->10:,1.091925,0.111,-,-,-,-,[1.435925 1.438621 0.153196]
8->10:,0.47436,0.0,-,-,-,-,[ 1.02e-04 -1.03e-04  2.30e-05]
9->10:,0.22306,0.0,-,-,-,-,[ 1.32e-04 -6.70e-05  2.48e-04]
