Excited state,Excitation energy,Oscillator strength,dipole moment,Total dipole,TPA cross section(sos),TPA cross section(dI),Transition dipole moment
0,0.0,-,[-0.000652  0.000725 -0.000895],0.003364,-,-,-
1,8.737052,0.446,[-0.000554  0.000563 -0.001125],0.003494,0.0,0.0,[ 1.045395 -0.99419  -0.009004]
2,9.05416,0.0,[-0.003127  0.010218 -0.001603],0.027464,0.16,0.0,[-0.016636  0.016375  0.003333]
3,9.170307,0.025,[0.002512 0.014735 0.002261],0.038426,0.0,0.0,[-0.013247 -0.022908  0.333699]
4,9.832814,0.0,[-0.017032 -0.010635 -0.000165],0.051039,4.98,3.06,[ 0.006459 -0.006061 -0.001878]
5,10.211712,0.0,[ 0.008855 -0.010794 -0.000649],0.035526,5.94,2.66,[ 7.310e-04  1.036e-03 -6.200e-05]
6,10.535486,0.0,[ 0.004335 -0.007771 -0.000941],0.022743,6.84,9.0,[ 0.000374 -0.003377 -0.002016]
7,11.556105,0.0,[0.004806 0.011419 0.000992],0.031591,31.94,59.31,[-0.002838  0.00092   0.001924]
8,12.16513,0.0,[ 7.279e-03 -2.446e-03 -5.500e-05],0.019519,0.0,0.0,[ 0.00055   0.000608 -0.000204]
9,12.416899,0.0,[ 0.005185 -0.002039  0.000124],0.014165,0.0,0.0,[-0.000136 -0.000111 -0.000202]
10,12.644877,0.422,[-0.017938 -0.003592 -0.000782],0.046542,0.0,0.0,[ 0.851434 -0.798583 -0.009045]
1->2:,0.317107,0.0,-,-,-,-,[-0.000712 -0.000587 -0.000335]
1->3:,0.433254,0.0,-,-,-,-,[ 0.000976 -0.001915  0.000681]
2->3:,0.116147,0.0,-,-,-,-,[0.273784 0.288152 0.030661]
1->4:,1.095761,0.0,-,-,-,-,[-0.004186 -0.004294  0.001828]
2->4:,0.778654,0.0,-,-,-,-,[0.012441 0.009895 0.001949]
3->4:,0.662507,0.066,-,-,-,-,[1.409869 1.436381 0.154876]
1->5:,1.47466,0.001,-,-,-,-,[-0.009441 -0.004936  0.132294]
2->5:,1.157553,0.0,-,-,-,-,[ 0.008753 -0.006707 -0.001753]
3->5:,1.041406,0.06,-,-,-,-,[ 1.08597  -1.084574 -0.014762]
4->5:,0.378899,0.0,-,-,-,-,[-0.005112  0.008732 -0.000909]
1->6:,1.798433,0.001,-,-,-,-,[ 0.009914  0.005832 -0.143326]
2->6:,1.481326,0.0,-,-,-,-,[-0.010178  0.010277  0.002679]
3->6:,1.365179,0.08,-,-,-,-,[-1.115809  1.071241  0.012599]
4->6:,0.702672,0.0,-,-,-,-,[ 0.008664 -0.007424  0.001022]
5->6:,0.323773,0.0,-,-,-,-,[-0.005391  0.006189 -0.00128 ]
1->7:,2.819052,0.001,-,-,-,-,[-0.078964 -0.082333 -0.008806]
2->7:,2.501945,0.0,-,-,-,-,[ 0.001431  0.002764 -0.000869]
3->7:,2.385798,0.0,-,-,-,-,[-8.10e-05 -9.60e-05 -9.48e-04]
4->7:,1.723291,0.0,-,-,-,-,[ 0.000472 -0.000357  0.000253]
5->7:,1.344392,0.0,-,-,-,-,[ 0.000608 -0.000432  0.000142]
6->7:,1.020619,0.0,-,-,-,-,[-4.64e-04 -4.50e-05 -1.79e-04]
1->8:,3.428077,0.0,-,-,-,-,[ 0.010788 -0.012888 -0.000297]
2->8:,3.11097,0.026,-,-,-,-,[ 0.415833 -0.403338 -0.004609]
3->8:,2.994823,0.0,-,-,-,-,[-0.006886  0.012958  0.002468]
4->8:,2.332316,0.186,-,-,-,-,[-1.321118  1.231254  0.013405]
5->8:,1.953418,0.036,-,-,-,-,[-0.575872 -0.652809 -0.067312]
6->8:,1.629644,0.065,-,-,-,-,[0.889339 0.911109 0.098006]
7->8:,0.609025,0.0,-,-,-,-,[ 0.000209 -0.000599  0.003343]
1->9:,3.679847,0.0,-,-,-,-,[ 0.010287 -0.008236 -0.000244]
2->9:,3.36274,0.129,-,-,-,-,[ 0.901847 -0.867079 -0.010163]
3->9:,3.246593,0.0,-,-,-,-,[-0.007534 -0.001846 -0.00285 ]
4->9:,2.584085,0.145,-,-,-,-,[ 1.115336 -1.021345 -0.010441]
5->9:,2.205187,0.103,-,-,-,-,[0.947006 1.00236  0.10634 ]
6->9:,1.881413,0.041,-,-,-,-,[-0.64595  -0.685525 -0.072632]
7->9:,0.860795,0.0,-,-,-,-,[-0.001784 -0.001522  0.031148]
8->9:,0.251769,0.0,-,-,-,-,[-0.001249 -0.001173 -0.002091]
1->10:,3.907824,0.0,-,-,-,-,[0.000472 0.000122 0.00022 ]
2->10:,3.590717,0.0,-,-,-,-,[-0.001276 -0.001355  0.003257]
3->10:,3.47457,0.0,-,-,-,-,[4.16e-04 4.56e-04 3.40e-05]
4->10:,2.812063,0.0,-,-,-,-,[ 0.000345  0.000275 -0.000834]
5->10:,2.433164,0.0,-,-,-,-,[ 0.001641  0.002358 -0.036381]
6->10:,2.109391,0.0,-,-,-,-,[-0.001902 -0.002549  0.040363]
7->10:,1.088772,0.111,-,-,-,-,[-1.425264 -1.445998 -0.156185]
8->10:,0.479747,0.0,-,-,-,-,[ 3.09e-04 -3.26e-04  4.40e-05]
9->10:,0.227977,0.0,-,-,-,-,[ 0.000426 -0.000155  0.00017 ]
