Excited state,Excitation energy,Oscillator strength,dipole moment,Total dipole,TPA cross section(sos),TPA cross section(dI),Transition dipole moment
0,0.0,-,[-1.0e-05  1.6e-05 -5.5e-05],0.000148,-,-,-
1,8.68593,0.434,[-3.4e-05  4.9e-05 -6.1e-05],0.000218,0.0,0.0,[-1.029153  0.986989 -0.079907]
2,8.872576,0.0,[ 3.60e-05  1.10e-04 -1.16e-04],0.000418,0.15,0.24,[-5.84e-04  6.12e-04 -1.70e-05]
3,9.160357,0.038,[-1.3e-05 -3.7e-05  6.6e-05],0.000195,0.0,0.0,[-0.141165  0.171172 -0.348166]
4,9.744851,0.0,[-6.9e-05 -4.1e-05  7.3e-05],0.000276,4.83,3.51,[-1.48e-04  1.47e-04 -8.00e-06]
5,10.129706,0.0,[ 4.4e-05 -4.9e-05 -2.3e-05],0.000176,6.69,3.68,[ 1.5e-05  3.3e-05 -8.0e-06]
6,10.462719,0.0,[ 1.4e-05 -2.1e-05 -5.1e-05],0.000145,6.25,8.64,[-7.8e-05  1.5e-04  1.0e-06]
7,11.403696,0.0,[2.3e-05 3.8e-05 6.0e-06],0.000113,33.02,63.2,[ 1.0e-06  3.0e-06 -4.8e-05]
8,12.002975,0.0,[ 2.2e-05  1.3e-05 -7.5e-05],0.000201,0.0,0.0,[0.026308 0.027797 0.002963]
9,12.316262,0.0,[ 3.4e-05 -1.7e-05  5.8e-05],0.000177,0.0,0.0,[ 6.50e-04  1.18e-04 -6.90e-05]
10,12.451029,0.441,[-6.9e-05 -1.9e-05  1.5e-05],0.000185,0.0,0.0,[-0.873443  0.821935  0.076633]
1->2:,0.186646,0.0,-,-,-,-,[0.032257 0.033861 0.003597]
1->3:,0.474427,0.0,-,-,-,-,[ 1.25e-04 -5.10e-05 -2.00e-05]
2->3:,0.28778,0.001,-,-,-,-,[-0.237214 -0.249295 -0.02645 ]
1->4:,1.058921,0.003,-,-,-,-,[-0.246537 -0.259704 -0.027634]
2->4:,0.872274,0.0,-,-,-,-,[-2.29e-04 -2.25e-04 -6.60e-05]
3->4:,0.584494,0.055,-,-,-,-,[1.343325 1.41459  0.149998]
1->5:,1.443776,0.004,-,-,-,-,[ 0.215844 -0.190101 -0.138487]
2->5:,1.25713,0.0,-,-,-,-,[ 1.96e-04 -1.64e-04 -7.50e-05]
3->5:,0.96935,0.061,-,-,-,-,[-1.167092  1.101423  0.053503]
4->5:,0.384855,0.0,-,-,-,-,[ 2.3e-05 -4.2e-05  2.5e-05]
1->6:,1.776789,0.004,-,-,-,-,[ 0.189991 -0.165868 -0.139873]
2->6:,1.590143,0.0,-,-,-,-,[ 1.75e-04 -1.71e-04 -9.30e-05]
3->6:,1.302362,0.067,-,-,-,-,[-1.050881  0.993584  0.051802]
4->6:,0.717868,0.0,-,-,-,-,[ 3.7e-05 -2.8e-05  2.2e-05]
5->6:,0.333013,0.0,-,-,-,-,[ 2.1e-05 -3.3e-05  7.9e-05]
1->7:,2.717766,0.001,-,-,-,-,[-0.074508 -0.078439 -0.008316]
2->7:,2.53112,0.0,-,-,-,-,[-2.30e-05 -1.02e-04 -8.00e-06]
3->7:,2.243339,0.0,-,-,-,-,[-0.006915 -0.007358 -0.000676]
4->7:,1.658845,0.0,-,-,-,-,[ 2.6e-05 -1.9e-05 -1.0e-06]
5->7:,1.27399,0.0,-,-,-,-,[-1.9e-05  8.0e-06 -1.0e-06]
6->7:,0.940977,0.0,-,-,-,-,[-1.8e-05 -9.0e-06 -2.0e-06]
1->8:,3.317045,0.0,-,-,-,-,[-4.39e-04  5.34e-04  2.50e-05]
2->8:,3.130399,0.069,-,-,-,-,[ 0.689137 -0.652858 -0.013912]
3->8:,2.842618,0.0,-,-,-,-,[ 5.2e-05 -3.1e-05 -2.8e-05]
4->8:,2.258124,0.091,-,-,-,-,[ 0.93378  -0.880595 -0.073028]
5->8:,1.873269,0.011,-,-,-,-,[-0.334901 -0.350052 -0.037166]
6->8:,1.540256,0.033,-,-,-,-,[-0.638462 -0.673716 -0.071386]
7->8:,0.599279,0.0,-,-,-,-,[-0.022503  0.022143 -0.009552]
1->9:,3.630332,0.0,-,-,-,-,[-3.58e-04  1.93e-04 -8.00e-06]
2->9:,3.443686,0.084,-,-,-,-,[ 0.722995 -0.683803 -0.028071]
3->9:,3.155905,0.0,-,-,-,-,[ 5.0e-05 -5.3e-05  6.2e-05]
4->9:,2.571411,0.241,-,-,-,-,[-1.418785  1.337392  0.129368]
5->9:,2.186556,0.14,-,-,-,-,[1.11039  1.167701 0.123774]
6->9:,1.853543,0.06,-,-,-,-,[0.787996 0.829447 0.087956]
7->9:,0.912566,0.0,-,-,-,-,[ 0.052648 -0.045709 -0.03192 ]
8->9:,0.313287,0.0,-,-,-,-,[-1.8e-05  2.2e-05 -9.2e-05]
1->10:,3.7651,0.0,-,-,-,-,[-3.6e-05 -3.8e-05  4.0e-06]
2->10:,3.578453,0.001,-,-,-,-,[0.070322 0.073725 0.007979]
3->10:,3.290673,0.0,-,-,-,-,[1.6e-05 1.9e-05 4.0e-06]
4->10:,2.706179,0.0,-,-,-,-,[0.014872 0.016816 0.001749]
5->10:,2.321323,0.0,-,-,-,-,[ 0.006629 -0.009439  0.035958]
6->10:,1.98831,0.0,-,-,-,-,[ 0.002551 -0.005429  0.034808]
7->10:,1.047334,0.103,-,-,-,-,[-1.375905 -1.449253 -0.153699]
8->10:,0.448055,0.0,-,-,-,-,[-1.1e-05  7.0e-06 -2.0e-06]
9->10:,0.134768,0.0,-,-,-,-,[-1.e-05 -5.e-06  0.e+00]
