Excited state,Excitation energy,Oscillator strength,dipole moment,Total dipole,TPA cross section(sos),TPA cross section(dI),Transition dipole moment
0,0.0,-,[-0.000153  0.001175 -0.010398],0.026601,-,-,-
1,8.726369,0.434,[-0.001472  0.001051 -0.013234],0.033951,0.0,0.0,[ 1.031051 -0.98267  -0.006935]
2,9.059427,0.01,[-0.003505  0.00993  -0.022982],0.064256,0.17,0.0,[ 0.160446 -0.143254  0.003141]
3,9.172727,0.025,[0.021448 0.01875  0.015886],0.082906,0.09,0.05,[-0.002054  0.032085 -0.334461]
4,9.836747,0.002,[-0.025803 -0.026164  0.013176],0.099224,4.99,3.07,[-0.062766  0.058662 -0.003364]
5,10.213216,0.0,[ 0.002598 -0.004576 -0.005911],0.020115,5.99,2.7,[-0.006391 -0.009964 -0.001775]
6,10.536401,0.0,[-0.000223 -0.004133 -0.008452],0.023921,6.84,9.01,[-0.038646  0.005563 -0.000945]
7,11.561119,0.0,[0.015194 0.013472 0.002324],0.051951,31.89,59.24,[ 0.006978 -0.001844  0.019214]
8,12.164005,0.0,[ 0.005794 -0.000157 -0.002745],0.016302,0.04,0.03,[ 4.107e-03  3.639e-03 -7.900e-05]
9,12.41567,0.0,[ 0.003284 -0.000221  0.000559],0.008487,0.12,0.09,[-0.00103  -0.000933  0.000242]
10,12.650243,0.422,[-0.023709 -0.014695  0.003055],0.071324,0.02,0.03,[ 0.841922 -0.807336 -0.022056]
1->2:,0.333058,0.0,-,-,-,-,[-0.002681 -0.005027  0.001412]
1->3:,0.446358,0.0,-,-,-,-,[-0.022397  0.010812 -0.000191]
2->3:,0.1133,0.0,-,-,-,-,[-0.279891 -0.291027 -0.026627]
1->4:,1.110377,0.0,-,-,-,-,[-0.026764 -0.026619 -0.000628]
2->4:,0.777319,0.0,-,-,-,-,[0.010296 0.006451 0.009956]
3->4:,0.66402,0.066,-,-,-,-,[-1.403605 -1.442247 -0.13014 ]
1->5:,1.486847,0.001,-,-,-,-,[-0.024484  0.012253  0.1333  ]
2->5:,1.153789,0.0,-,-,-,-,[ 0.005181 -0.006685  0.01566 ]
3->5:,1.040489,0.06,-,-,-,-,[-1.09112   1.082607  0.02518 ]
4->5:,0.37647,0.0,-,-,-,-,[-0.012146  0.01105   0.011302]
1->6:,1.810032,0.001,-,-,-,-,[-0.025259  0.011211  0.142454]
2->6:,1.476974,0.0,-,-,-,-,[ 0.009448 -0.011067  0.023197]
3->6:,1.363674,0.08,-,-,-,-,[-1.118429  1.066481  0.023944]
4->6:,0.699655,0.0,-,-,-,-,[-0.015327  0.011492  0.010858]
5->6:,0.323185,0.0,-,-,-,-,[ 0.001539 -0.002874  0.015752]
1->7:,2.83475,0.001,-,-,-,-,[0.076855 0.081494 0.007197]
2->7:,2.501691,0.0,-,-,-,-,[0.025877 0.0127   0.002462]
3->7:,2.388392,0.0,-,-,-,-,[-0.000658 -0.000445 -0.001585]
4->7:,1.724372,0.0,-,-,-,-,[-0.004147  0.005056 -0.00011 ]
5->7:,1.347902,0.0,-,-,-,-,[ 0.00462  -0.005817 -0.000415]
6->7:,1.024717,0.0,-,-,-,-,[-0.001027 -0.005191 -0.00062 ]
1->8:,3.437636,0.002,-,-,-,-,[-0.127971  0.09335   0.001365]
2->8:,3.104578,0.025,-,-,-,-,[ 0.405216 -0.398751 -0.007232]
3->8:,2.991278,0.0,-,-,-,-,[ 0.014587 -0.018589  0.018783]
4->8:,2.327259,0.184,-,-,-,-,[-1.311316  1.228743  0.031653]
5->8:,1.950789,0.036,-,-,-,-,[-0.575535 -0.646561 -0.056674]
6->8:,1.627604,0.064,-,-,-,-,[-0.890247 -0.902777 -0.081924]
7->8:,0.602886,0.0,-,-,-,-,[-0.002166  0.002985 -0.003457]
1->9:,3.689301,0.001,-,-,-,-,[-0.074455  0.092354  0.001845]
2->9:,3.356243,0.127,-,-,-,-,[ 0.897094 -0.862258 -0.018439]
3->9:,3.242943,0.0,-,-,-,-,[ 0.002568  0.00404  -0.022826]
4->9:,2.578924,0.146,-,-,-,-,[ 1.117737 -1.029819 -0.027642]
5->9:,2.202454,0.104,-,-,-,-,[0.955474 1.002436 0.089971]
6->9:,1.879269,0.042,-,-,-,-,[0.652499 0.686999 0.061464]
7->9:,0.854551,0.0,-,-,-,-,[ 0.003305 -0.000581 -0.031133]
8->9:,0.251665,0.0,-,-,-,-,[ 0.001226 -0.002265 -0.022862]
1->10:,3.923874,0.0,-,-,-,-,[0.001228 0.001218 0.001449]
2->10:,3.590815,0.0,-,-,-,-,[-0.007396 -0.007647  0.001865]
3->10:,3.477516,0.0,-,-,-,-,[0.004071 0.003909 0.000509]
4->10:,2.813496,0.0,-,-,-,-,[0.002324 0.001249 0.000366]
5->10:,2.437026,0.0,-,-,-,-,[ 0.000586  0.002947 -0.036495]
6->10:,2.113841,0.0,-,-,-,-,[ 0.00133   0.00291  -0.040451]
7->10:,1.089124,0.111,-,-,-,-,[1.414559 1.458399 0.131524]
8->10:,0.486238,0.0,-,-,-,-,[-3.221e-03  2.910e-03  3.200e-05]
9->10:,0.234573,0.0,-,-,-,-,[-0.001415  0.004269  0.000497]
