Excited state,Excitation energy,Oscillator strength,dipole moment,Total dipole,TPA cross section(sos),TPA cross section(dI),Transition dipole moment
0,0.0,-,[-0.000309  0.001069  0.000626],0.003247,-,-,-
1,8.768741,0.447,[-0.000267  0.000704  0.000742],0.002688,0.0,0.0,[ 1.04473  -0.995123 -0.009079]
2,9.052823,0.0,[-0.004213  0.025331  0.00262 ],0.065607,0.16,0.0,[-0.00285   0.004391 -0.010549]
3,9.186049,0.025,[0.037175 0.030192 0.002775],0.12193,0.0,0.0,[-0.014986 -0.020499  0.33264 ]
4,9.834837,0.0,[-0.050979 -0.051905 -0.006332],0.185619,4.91,2.99,[ 0.000821 -0.001705  0.00808 ]
5,10.235799,0.0,[ 0.007389 -0.006137  0.000196],0.02442,6.41,3.02,[-2.200e-05 -1.360e-04 -1.985e-03]
6,10.56445,0.0,[ 0.002016 -0.005639  0.000277],0.015238,6.28,8.53,[-0.000918  0.001557 -0.000644]
7,11.535394,0.0,[0.029684 0.023638 0.002757],0.096703,32.35,59.72,[ 0.018326 -0.000521  0.001211]
8,12.184509,0.0,[ 0.007629 -0.005075  0.000221],0.023295,0.0,0.0,[-0.000157 -0.000167 -0.000369]
9,12.436422,0.0,[ 3.377e-03 -3.601e-03 -5.900e-05],0.012549,0.0,0.0,[-0.000128 -0.000175  0.003393]
10,12.613948,0.425,[-0.049563 -0.027347 -0.004172],0.144271,0.01,0.01,[ 0.884716 -0.768841 -0.004109]
1->2:,0.284082,0.0,-,-,-,-,[0.000163 0.000201 0.000566]
1->3:,0.417308,0.0,-,-,-,-,[-0.001053  0.000829  0.001132]
2->3:,0.133225,0.001,-,-,-,-,[-0.278708 -0.283427 -0.029987]
1->4:,1.066096,0.0,-,-,-,-,[ 0.001577  0.001622 -0.002598]
2->4:,0.782014,0.0,-,-,-,-,[0.039921 0.030781 0.003237]
3->4:,0.648788,0.064,-,-,-,-,[-1.419379 -1.421228 -0.151732]
1->5:,1.467058,0.001,-,-,-,-,[-0.007675 -0.007074  0.13807 ]
2->5:,1.182976,0.0,-,-,-,-,[-2.6063e-02  2.7184e-02 -2.3000e-05]
3->5:,1.049751,0.066,-,-,-,-,[ 1.130141 -1.133093 -0.013958]
4->5:,0.400962,0.0,-,-,-,-,[ 0.021293 -0.020497 -0.000457]
1->6:,1.795709,0.001,-,-,-,-,[ 0.007653  0.007238 -0.139156]
2->6:,1.511627,0.0,-,-,-,-,[ 0.03445  -0.032658  0.00021 ]
3->6:,1.378402,0.074,-,-,-,-,[-1.059079  1.034649  0.011486]
4->6:,0.729613,0.0,-,-,-,-,[-0.025203  0.0199    0.000181]
5->6:,0.328651,0.0,-,-,-,-,[-0.006034  0.000387  0.000617]
1->7:,2.766653,0.001,-,-,-,-,[0.077121 0.082355 0.008542]
2->7:,2.482571,0.0,-,-,-,-,[ 9.900e-05 -6.990e-04 -2.002e-03]
3->7:,2.349346,0.0,-,-,-,-,[ 9.900e-05  7.600e-05 -1.055e-03]
4->7:,1.700557,0.0,-,-,-,-,[-0.000312  0.000198  0.000609]
5->7:,1.299595,0.0,-,-,-,-,[ 1.81e-04 -1.00e-05 -5.62e-04]
6->7:,0.970944,0.0,-,-,-,-,[-0.000222 -0.00017   0.000573]
1->8:,3.415768,0.0,-,-,-,-,[ 0.001728 -0.003122 -0.001691]
2->8:,3.131686,0.026,-,-,-,-,[ 0.420563 -0.400583 -0.003844]
3->8:,2.998461,0.0,-,-,-,-,[ 0.029006 -0.035401 -0.000357]
4->8:,2.349672,0.187,-,-,-,-,[-1.322877  1.224254  0.01054 ]
5->8:,1.94871,0.041,-,-,-,-,[0.609895 0.690514 0.069948]
6->8:,1.620059,0.061,-,-,-,-,[-0.843312 -0.901335 -0.093532]
7->8:,0.649115,0.0,-,-,-,-,[-2.000e-05 -3.330e-04  3.529e-03]
1->9:,3.667681,0.0,-,-,-,-,[ 0.002627 -0.001523  0.001235]
2->9:,3.383599,0.129,-,-,-,-,[ 0.908554 -0.858202 -0.008043]
3->9:,3.250373,0.0,-,-,-,-,[ 1.4253e-02 -2.4530e-03  8.3000e-05]
4->9:,2.601585,0.146,-,-,-,-,[ 1.117348 -1.019694 -0.00813 ]
5->9:,2.200623,0.109,-,-,-,-,[-0.958467 -1.04668  -0.107632]
6->9:,1.871972,0.036,-,-,-,-,[0.597896 0.648823 0.066898]
7->9:,0.901028,0.0,-,-,-,-,[-0.001618 -0.001715  0.031202]
8->9:,0.251913,0.0,-,-,-,-,[ 0.007005 -0.005327  0.001263]
1->10:,3.845207,0.0,-,-,-,-,[ 4.23e-04  3.97e-04 -6.80e-05]
2->10:,3.561124,0.0,-,-,-,-,[ 0.000705  0.000794 -0.006875]
3->10:,3.427899,0.0,-,-,-,-,[-3.40e-05 -4.60e-05 -6.76e-04]
4->10:,2.779111,0.0,-,-,-,-,[-0.000274 -0.000364  0.004291]
5->10:,2.378148,0.0,-,-,-,-,[ 0.001732  0.002265 -0.037717]
6->10:,2.049498,0.0,-,-,-,-,[-0.001787 -0.002286  0.0384  ]
7->10:,1.078553,0.109,-,-,-,-,[1.455611 1.41192  0.152874]
8->10:,0.429438,0.0,-,-,-,-,[ 4.8e-05 -5.8e-05  7.8e-05]
9->10:,0.177526,0.0,-,-,-,-,[ 1.81e-04  5.70e-05 -5.89e-04]
