Excited state,Excitation energy,Oscillator strength,dipole moment,Total dipole,TPA cross section(sos),TPA cross section(dI),Transition dipole moment
0,0.0,-,[-4.0e-06  1.0e-06  1.6e-05],4.2e-05,-,-,-
1,8.717385,0.446,[-5.0e-06 -3.0e-06  4.3e-05],0.000111,0.0,0.0,[-1.058308  0.983348  0.008207]
2,8.743513,0.0,[-4.0e-05  4.2e-05  1.2e-05],0.00015,0.07,0.04,[ 3.889e-03 -3.604e-03 -3.600e-05]
3,9.127492,0.023,[ 4.6e-05  6.3e-05 -1.0e-05],0.000201,0.0,0.0,[ 0.014763  0.020157 -0.322784]
4,9.711356,0.0,[-5.8e-05 -5.0e-05 -2.8e-05],0.000207,4.54,2.59,[ 1.45e-04 -1.44e-04 -9.00e-06]
5,10.196538,0.0,[ 4.7e-05 -5.3e-05  0.0e+00],0.000181,9.44,5.86,[-2.1e-05 -4.3e-05 -2.0e-06]
6,10.641274,0.0,[-1.9e-05 -1.4e-05  3.2e-05],0.000102,2.37,4.89,[ 9.3e-05 -2.9e-05  9.0e-06]
7,11.280372,0.0,[ 4.1e-05  4.2e-05 -3.0e-06],0.000149,33.78,65.69,[-1.7e-05 -1.8e-05  3.9e-05]
8,12.0172,0.0,[ 4.5e-05 -2.1e-05  1.1e-05],0.000129,0.0,0.0,[ 0.000447  0.000212 -0.004937]
9,12.288306,0.0,[ 1.3e-05 -1.0e-05 -1.6e-05],5.9e-05,0.0,0.0,[-0.003304  0.000416  0.03587 ]
10,12.306764,0.409,[-8.1e-05 -7.0e-06 -1.9e-05],0.000211,0.0,0.0,[-0.623339  0.983586  0.029643]
1->2:,0.026128,0.0,-,-,-,-,[-0.000219 -0.00034   0.00288 ]
1->3:,0.410107,0.0,-,-,-,-,[4.72e-04 8.08e-04 7.60e-05]
2->3:,0.383979,0.001,-,-,-,-,[0.166625 0.246068 0.022874]
1->4:,0.993971,0.0,-,-,-,-,[ 0.001732  0.001791 -0.011593]
2->4:,0.967843,0.0,-,-,-,-,[-2.6e-05 -1.0e-05  4.8e-05]
3->4:,0.583864,0.056,-,-,-,-,[-1.396365 -1.393166 -0.15123 ]
1->5:,1.479152,0.001,-,-,-,-,[-0.00878  -0.008549  0.160834]
2->5:,1.453024,0.0,-,-,-,-,[ 3.20e-05  3.20e-05 -5.81e-04]
3->5:,1.069046,0.105,-,-,-,-,[ 1.308143 -1.513749 -0.02881 ]
4->5:,0.485182,0.0,-,-,-,-,[ 3.0e-05 -4.1e-05  2.9e-05]
1->6:,1.923889,0.0,-,-,-,-,[ 0.004494  0.004519 -0.081427]
2->6:,1.897761,0.0,-,-,-,-,[-5.20e-05  2.00e-05  3.05e-04]
3->6:,1.513782,0.03,-,-,-,-,[-7.12967e-01  5.53964e-01 -6.79000e-04]
4->6:,0.929918,0.0,-,-,-,-,[-3.4e-05  2.1e-05 -1.8e-05]
5->6:,0.444736,0.0,-,-,-,-,[-1.8e-05  1.6e-05  2.0e-05]
1->7:,2.562987,0.001,-,-,-,-,[0.086814 0.063291 0.00799 ]
2->7:,2.536859,0.0,-,-,-,-,[-3.47e-04 -2.39e-04 -2.40e-05]
3->7:,2.15288,0.0,-,-,-,-,[-0.001363 -0.001821  0.029932]
4->7:,1.569016,0.0,-,-,-,-,[-6.0e-06  1.3e-05  2.0e-06]
5->7:,1.083834,0.0,-,-,-,-,[-1.3e-05  1.6e-05  0.0e+00]
6->7:,0.639098,0.0,-,-,-,-,[-1.2e-05 -8.0e-06  0.0e+00]
1->8:,3.299815,0.0,-,-,-,-,[-1.930e-03  2.485e-03  5.800e-05]
2->8:,3.273686,0.054,-,-,-,-,[-0.48714   0.656971  0.01631 ]
3->8:,2.889708,0.0,-,-,-,-,[ 1.8e-05 -3.9e-05 -3.9e-05]
4->8:,2.305844,0.127,-,-,-,-,[-1.143271  0.965541  0.003729]
5->8:,1.820662,0.046,-,-,-,-,[0.676398 0.749633 0.077797]
6->8:,1.375926,0.027,-,-,-,-,[-0.849354 -0.271536 -0.057162]
7->8:,0.736828,0.0,-,-,-,-,[-0.000551 -0.000962  0.008672]
1->9:,3.570921,0.0,-,-,-,-,[-2.215e-03  2.911e-03  7.300e-05]
2->9:,3.544793,0.095,-,-,-,-,[-0.648697  0.821692  0.018577]
3->9:,3.160814,0.0,-,-,-,-,[1.1e-05 2.9e-05 6.2e-05]
4->9:,2.57695,0.209,-,-,-,-,[ 1.455204 -1.092968  0.003392]
5->9:,2.091769,0.158,-,-,-,-,[-1.380724 -1.07557  -0.131421]
6->9:,1.647032,0.011,-,-,-,-,[0.386121 0.35144  0.039795]
7->9:,1.007934,0.0,-,-,-,-,[0.002087 0.00226  0.028009]
8->9:,0.271107,0.0,-,-,-,-,[ 1.2e-05 -1.6e-05  3.7e-05]
1->10:,3.589379,0.0,-,-,-,-,[ 6.0e-06 -6.0e-06  4.1e-05]
2->10:,3.56325,0.0,-,-,-,-,[ 0.000696 -0.003031  0.012264]
3->10:,3.179272,0.0,-,-,-,-,[1.4e-05 1.1e-05 0.0e+00]
4->10:,2.595408,0.0,-,-,-,-,[-0.003029  0.004386 -0.022497]
5->10:,2.110226,0.0,-,-,-,-,[ 0.005789  0.005634 -0.044187]
6->10:,1.66549,0.0,-,-,-,-,[-0.002083 -0.002104  0.017494]
7->10:,1.026392,0.102,-,-,-,-,[1.40417  1.430975 0.153809]
8->10:,0.289564,0.0,-,-,-,-,[-8.e-06  7.e-06 -0.e+00]
9->10:,0.018457,0.0,-,-,-,-,[-7.e-06  7.e-06 -0.e+00]
