Excited state,Excitation energy,Oscillator strength,dipole moment,Total dipole,TPA cross section(sos),TPA cross section(dI),Transition dipole moment
0,0.0,-,[ 0.000108 -0.00022   0.000314],0.001011,-,-,-
1,8.737897,0.446,[ 0.000159 -0.000133  0.000397],0.001137,0.0,0.0,[-1.044739  0.995344  0.009404]
2,9.05934,0.0,[-0.006439 -0.005284  0.000115],0.021173,0.17,0.0,[ 0.001402 -0.001149 -0.004811]
3,9.162105,0.025,[-0.006523 -0.015123 -0.00164 ],0.042069,0.0,0.0,[-0.015403 -0.020033  0.33241 ]
4,9.83032,0.0,[0.020592 0.016964 0.001513],0.067922,4.97,3.06,[-0.00059   0.00034   0.002583]
5,10.205916,0.0,[-0.002297  0.00465   0.00035 ],0.013212,5.56,2.39,[5.20e-05 3.20e-05 5.26e-04]
6,10.530174,0.0,[-0.000103  0.004267  0.000469],0.010913,7.12,9.21,[ 0.0006   -0.000736 -0.000818]
7,11.552755,0.0,[-0.008041 -0.013492 -0.001205],0.040039,31.8,59.07,[-0.000925  0.004864  0.000404]
8,12.170002,0.0,[-0.003412 -0.001743 -0.000211],0.009753,0.0,0.0,[ 9.40e-05  9.70e-05 -5.14e-04]
9,12.421255,0.0,[-0.002354 -0.000736 -0.000122],0.006276,0.0,0.0,[-4.50e-05 -4.90e-05  5.98e-04]
10,12.644811,0.419,[0.01497  0.013475 0.001384],0.051314,0.0,0.0,[ 0.840037 -0.805141 -0.008126]
1->2:,0.321443,0.0,-,-,-,-,[6.00e-05 8.00e-05 2.32e-04]
1->3:,0.424209,0.0,-,-,-,-,[ 4.94e-04 -5.29e-04  8.80e-05]
2->3:,0.102766,0.0,-,-,-,-,[0.276066 0.292567 0.030434]
1->4:,1.092423,0.0,-,-,-,-,[ 0.000638  0.000664 -0.002726]
2->4:,0.77098,0.0,-,-,-,-,[-0.016611 -0.018026 -0.002131]
3->4:,0.668215,0.067,-,-,-,-,[1.415691 1.433417 0.15201 ]
1->5:,1.468019,0.001,-,-,-,-,[-0.006411 -0.007202  0.127721]
2->5:,1.146576,0.0,-,-,-,-,[ 0.012514 -0.011542 -0.000234]
3->5:,1.04381,0.057,-,-,-,-,[-1.045985  1.063009  0.01361 ]
4->5:,0.375596,0.0,-,-,-,-,[-0.007641  0.01      0.000131]
1->6:,1.792278,0.001,-,-,-,-,[ 0.007328  0.008339 -0.146729]
2->6:,1.470835,0.0,-,-,-,-,[-0.015803  0.015759  0.00039 ]
3->6:,1.368069,0.084,-,-,-,-,[ 1.139339 -1.094961 -0.011099]
4->6:,0.699854,0.0,-,-,-,-,[ 1.0416e-02 -1.0913e-02 -7.9000e-05]
5->6:,0.324259,0.0,-,-,-,-,[ 0.00208  -0.002646  0.000435]
1->7:,2.814858,0.001,-,-,-,-,[-0.079607 -0.082167 -0.008641]
2->7:,2.493415,0.0,-,-,-,-,[-6.4e-05  3.8e-04 -2.7e-05]
3->7:,2.39065,0.0,-,-,-,-,[-6.800e-05 -8.500e-05  1.758e-03]
4->7:,1.722435,0.0,-,-,-,-,[ 1.54e-04 -1.34e-04 -2.90e-05]
5->7:,1.346839,0.0,-,-,-,-,[-5.20e-05  2.10e-05 -2.02e-04]
6->7:,1.022581,0.0,-,-,-,-,[1.02e-04 6.70e-05 2.20e-04]
1->8:,3.432105,0.0,-,-,-,-,[ 4.370e-04 -1.364e-03  5.800e-05]
2->8:,3.110662,0.023,-,-,-,-,[ 0.387608 -0.381352 -0.004261]
3->8:,3.007896,0.0,-,-,-,-,[ 0.013348 -0.014011 -0.000355]
4->8:,2.339682,0.195,-,-,-,-,[-1.348719  1.254815  0.010779]
5->8:,1.964086,0.037,-,-,-,-,[0.570175 0.660803 0.066181]
6->8:,1.639827,0.07,-,-,-,-,[-0.931058 -0.936118 -0.099584]
7->8:,0.617247,0.0,-,-,-,-,[ 7.900e-05  1.990e-04 -2.508e-03]
1->9:,3.683359,0.0,-,-,-,-,[ 0.001077 -0.00044  -0.000299]
2->9:,3.361916,0.132,-,-,-,-,[ 0.908594 -0.882907 -0.009417]
3->9:,3.25915,0.0,-,-,-,-,[ 0.006606 -0.00495   0.000195]
4->9:,2.590935,0.136,-,-,-,-,[ 1.083507 -0.983846 -0.007249]
5->9:,2.21534,0.097,-,-,-,-,[-0.921877 -0.965942 -0.100922]
6->9:,1.891081,0.042,-,-,-,-,[0.649053 0.686016 0.071404]
7->9:,0.8685,0.0,-,-,-,-,[ 0.001508  0.001807 -0.031167]
8->9:,0.251253,0.0,-,-,-,-,[ 0.003123 -0.000346  0.000823]
1->10:,3.906915,0.0,-,-,-,-,[4.33e-04 2.70e-04 9.10e-05]
2->10:,3.585472,0.0,-,-,-,-,[-0.000285 -0.000326  0.003193]
3->10:,3.482706,0.0,-,-,-,-,[-2.7e-05 -3.3e-05 -8.1e-05]
4->10:,2.814491,0.0,-,-,-,-,[ 4.7e-05  2.5e-05 -7.2e-05]
5->10:,2.438896,0.0,-,-,-,-,[-0.001667 -0.00212   0.035451]
6->10:,2.114637,0.0,-,-,-,-,[ 0.001954  0.002464 -0.041315]
7->10:,1.092056,0.111,-,-,-,-,[1.425674 1.449081 0.153415]
8->10:,0.47481,0.0,-,-,-,-,[-1.5e-05  3.3e-05 -3.9e-05]
9->10:,0.223556,0.0,-,-,-,-,[-6.10e-05 -1.30e-05 -2.21e-04]
