Excited state,Excitation energy,Oscillator strength,dipole moment,Total dipole,TPA cross section(sos),TPA cross section(dI),Transition dipole moment
0,0.0,-,[-0.018316 -0.019223 -0.002029],0.067685,-,-,-
1,8.732938,0.449,[-0.015485 -0.016248 -0.00171 ],0.057216,0.0,0.0,[-1.049876  0.997077  0.009831]
2,8.868596,0.008,[-0.391036 -0.411162 -0.043606],1.446486,0.21,0.0,[ 0.00809   0.012326 -0.188809]
3,9.064566,0.009,[-0.402864 -0.423276 -0.044918],1.489645,0.04,0.07,[-0.010026 -0.011951  0.202465]
4,9.842573,0.009,[0.991421 1.043297 0.110622],3.668949,4.67,2.89,[ 0.00903   0.011698 -0.191233]
5,10.138628,0.0,[-0.134556 -0.142428 -0.015066],0.499491,6.86,3.45,[4.00e-05 2.90e-05 1.04e-04]
6,10.504304,0.0,[-0.00525  -0.005688 -0.00058 ],0.019729,4.58,6.99,[6.5e-05 1.4e-05 5.5e-05]
7,11.328123,0.04,[-0.505053 -0.530662 -0.056314],1.867539,30.37,58.13,[ 0.277008 -0.26248  -0.002514]
8,12.078317,0.0,[0.073109 0.076913 0.008167],0.270516,1.25,0.9,[-1.7e-05 -1.2e-05 -7.0e-06]
9,12.339957,0.0,[0.139309 0.146314 0.015524],0.515014,0.33,0.38,[-1.5e-05 -7.0e-06  1.8e-05]
10,12.51565,0.392,[0.806992 0.848876 0.090034],2.985803,1.43,2.91,[-0.820185  0.778793  0.007707]
1->2:,0.135659,0.0,-,-,-,-,[1.67e-04 2.03e-04 2.90e-05]
1->3:,0.331628,0.0,-,-,-,-,[-3.43e-04 -3.95e-04 -4.10e-05]
2->3:,0.195969,0.003,-,-,-,-,[0.546147 0.573692 0.060909]
1->4:,1.109635,0.0,-,-,-,-,[-3.63e-04 -3.69e-04 -4.70e-05]
2->4:,0.973976,0.012,-,-,-,-,[0.495724 0.521395 0.055312]
3->4:,0.778007,0.03,-,-,-,-,[-0.867204 -0.91243  -0.096765]
1->5:,1.40569,0.001,-,-,-,-,[ 0.006934  0.007954 -0.137213]
2->5:,1.270031,0.021,-,-,-,-,[-0.599225  0.569133  0.005488]
3->5:,1.074062,0.058,-,-,-,-,[ 1.080429 -1.025966 -0.010127]
4->5:,0.296055,0.002,-,-,-,-,[-0.388     0.368081  0.003644]
1->6:,1.771366,0.001,-,-,-,-,[ 0.005918  0.00642  -0.113592]
2->6:,1.635708,0.029,-,-,-,-,[-0.616661  0.585677  0.005657]
3->6:,1.439738,0.026,-,-,-,-,[ 0.624392 -0.593174 -0.005888]
4->6:,0.661731,0.004,-,-,-,-,[-0.340634  0.323473  0.003212]
5->6:,0.365676,0.0,-,-,-,-,[-0.136034 -0.143659 -0.015229]
1->7:,2.595185,0.001,-,-,-,-,[0.075477 0.079421 0.008424]
2->7:,2.459526,0.0,-,-,-,-,[ 8.3e-05  7.1e-05 -3.0e-06]
3->7:,2.263557,0.0,-,-,-,-,[2.2e-05 1.1e-05 3.3e-05]
4->7:,1.48555,0.0,-,-,-,-,[-6.0e-06 -1.7e-05 -5.0e-06]
5->7:,1.189495,0.0,-,-,-,-,[ 0.000678  0.000818 -0.01382 ]
6->7:,0.823819,0.0,-,-,-,-,[ 0.000605  0.000756 -0.012619]
1->8:,3.345379,0.0,-,-,-,-,[ 0.003596  0.003369 -0.063667]
2->8:,3.20972,0.011,-,-,-,-,[-0.276343  0.2624    0.002531]
3->8:,3.013751,0.05,-,-,-,-,[-0.597486  0.567313  0.005537]
4->8:,2.235744,0.126,-,-,-,-,[-1.098039  1.042874  0.010325]
5->8:,1.939689,0.035,-,-,-,-,[0.592791 0.62333  0.066126]
6->8:,1.574013,0.039,-,-,-,-,[0.693754 0.730298 0.077437]
7->8:,0.750194,0.0,-,-,-,-,[ 0.000465  0.000643 -0.010192]
1->9:,3.60702,0.0,-,-,-,-,[-0.00135  -0.003289  0.042822]
2->9:,3.471361,0.122,-,-,-,-,[-0.867625  0.823778  0.008113]
3->9:,3.275392,0.003,-,-,-,-,[-0.141609  0.134484  0.001368]
4->9:,2.497385,0.172,-,-,-,-,[ 1.213972 -1.153136 -0.011444]
5->9:,2.20133,0.137,-,-,-,-,[-1.096768 -1.15392  -0.122384]
6->9:,1.835653,0.029,-,-,-,-,[-0.549896 -0.578538 -0.06136 ]
7->9:,1.011835,0.0,-,-,-,-,[ 0.001309  0.001571 -0.026463]
8->9:,0.261641,0.0,-,-,-,-,[-0.123584 -0.129603 -0.01374 ]
1->10:,3.782713,0.0,-,-,-,-,[0.001607 0.001681 0.000177]
2->10:,3.647054,0.0,-,-,-,-,[4.4e-05 3.9e-05 2.7e-05]
3->10:,3.451085,0.0,-,-,-,-,[1.9e-05 1.5e-05 0.0e+00]
4->10:,2.673078,0.0,-,-,-,-,[ 2.1e-05  2.0e-05 -1.1e-05]
5->10:,2.377023,0.0,-,-,-,-,[-0.001757 -0.002227  0.036764]
6->10:,2.011346,0.0,-,-,-,-,[-0.001334 -0.001687  0.027875]
7->10:,1.187528,0.091,-,-,-,-,[1.217714 1.281024 0.13587 ]
8->10:,0.437334,0.0,-,-,-,-,[-0.000197 -0.000255  0.004215]
9->10:,0.175693,0.0,-,-,-,-,[ 0.000708  0.000842 -0.014265]
