Excited state,Excitation energy,Oscillator strength,dipole moment,Total dipole,TPA cross section(sos),TPA cross section(dI),Transition dipole moment
0,0.0,-,[-0.000148  0.001563  0.000794],0.004472,-,-,-
1,8.674117,0.442,[-0.000119  0.001033  0.000939],0.003561,0.0,0.0,[ 1.047188 -0.99239  -0.009711]
2,9.053429,0.0,[0.010699 0.058241 0.00558 ],0.151178,0.17,0.0,[-0.001192  0.004746 -0.02816 ]
3,9.139863,0.025,[0.050048 0.02586  0.002966],0.143385,0.0,0.0,[-0.016222 -0.019465  0.334317]
4,9.830669,0.0,[-0.079492 -0.090845 -0.010211],0.307919,5.14,3.2,[ 0.000462 -0.002023  0.014197]
5,10.162483,0.0,[ 0.003843 -0.002076  0.000581],0.011201,5.01,2.0,[ 8.900e-05 -1.400e-04  3.413e-03]
6,10.483142,0.0,[ 0.001364 -0.001809  0.000309],0.005811,7.97,9.9,[ 0.001219 -0.001655 -0.001036]
7,11.596038,0.0,[0.052636 0.037477 0.004673],0.164662,32.4,58.5,[-0.031585  0.001114 -0.00183 ]
8,12.127311,0.0,[ 7.545e-03 -8.939e-03  9.000e-06],0.029731,0.0,0.0,[ 2.100e-05  3.600e-05 -1.537e-03]
9,12.378559,0.0,[ 0.00136  -0.006526 -0.000308],0.016962,0.0,0.0,[-0.000271 -0.000323  0.00586 ]
10,12.70585,0.42,[-0.073509 -0.053706 -0.006976],0.232074,0.06,0.03,[-0.77926   0.862133  0.014387]
1->2:,0.379313,0.0,-,-,-,-,[-2.8e-05 -9.7e-05 -2.7e-04]
1->3:,0.465746,0.0,-,-,-,-,[-0.001049  0.001103  0.001476]
2->3:,0.086433,0.0,-,-,-,-,[-0.270903 -0.296333 -0.030241]
1->4:,1.156552,0.0,-,-,-,-,[-0.000237 -0.00018  -0.001808]
2->4:,0.77724,0.0,-,-,-,-,[0.10655  0.096526 0.01018 ]
3->4:,0.690806,0.069,-,-,-,-,[-1.386815 -1.455382 -0.152261]
1->5:,1.488366,0.001,-,-,-,-,[ 0.005471  0.007428 -0.120692]
2->5:,1.109053,0.0,-,-,-,-,[ 0.061959 -0.066918 -0.00077 ]
3->5:,1.02262,0.049,-,-,-,-,[-0.980639  0.989051  0.012466]
4->5:,0.331814,0.0,-,-,-,-,[-0.028768  0.025659  0.000411]
1->6:,1.809026,0.001,-,-,-,-,[-0.006919 -0.009187  0.150918]
2->6:,1.429713,0.001,-,-,-,-,[-0.102331  0.093447  0.000275]
3->6:,1.34328,0.091,-,-,-,-,[ 1.215734 -1.131704 -0.009833]
4->6:,0.652473,0.0,-,-,-,-,[ 4.5451e-02 -3.3497e-02 -4.1000e-05]
5->6:,0.32066,0.0,-,-,-,-,[-0.009362 -0.004881  0.000344]
1->7:,2.921921,0.001,-,-,-,-,[-0.082608 -0.082473 -0.008805]
2->7:,2.542608,0.0,-,-,-,-,[-0.000267  0.000631  0.003214]
3->7:,2.456175,0.0,-,-,-,-,[ 0.000199  0.000345 -0.004389]
4->7:,1.765369,0.0,-,-,-,-,[ 0.000383 -0.000245 -0.00103 ]
5->7:,1.433555,0.0,-,-,-,-,[ 1.69e-04  2.20e-05 -7.84e-04]
6->7:,1.112895,0.0,-,-,-,-,[-0.000333 -0.000244  0.001207]
1->8:,3.453194,0.0,-,-,-,-,[-0.001228  0.002813  0.003636]
2->8:,3.073882,0.024,-,-,-,-,[-0.401437  0.403041  0.005032]
3->8:,2.987448,0.001,-,-,-,-,[-0.05992   0.067968  0.000841]
4->8:,2.296642,0.185,-,-,-,-,[ 1.320231 -1.243133 -0.011434]
5->8:,1.964828,0.029,-,-,-,-,[0.495427 0.589233 0.058498]
6->8:,1.644169,0.074,-,-,-,-,[-0.978485 -0.927312 -0.101468]
7->8:,0.531273,0.0,-,-,-,-,[-0.000165 -0.000131  0.002952]
1->9:,3.704442,0.0,-,-,-,-,[-0.002032  0.001002 -0.002334]
2->9:,3.325129,0.127,-,-,-,-,[-0.885506  0.883589  0.010653]
3->9:,3.238696,0.0,-,-,-,-,[-0.047604  0.03594   0.000325]
4->9:,2.54789,0.142,-,-,-,-,[-1.113118  1.018328  0.007851]
5->9:,2.216076,0.091,-,-,-,-,[-0.911045 -0.913233 -0.097437]
6->9:,1.895416,0.052,-,-,-,-,[0.737987 0.750408 0.079568]
7->9:,0.782521,0.0,-,-,-,-,[-0.001441 -0.001856  0.030944]
8->9:,0.251247,0.0,-,-,-,-,[ 0.015453 -0.008141  0.001776]
1->10:,4.031733,0.0,-,-,-,-,[-2.66e-04 -8.24e-04  3.80e-05]
2->10:,3.65242,0.0,-,-,-,-,[ 0.000331  0.00037  -0.004813]
3->10:,3.565987,0.0,-,-,-,-,[5.30e-05 6.00e-05 2.87e-04]
4->10:,2.875181,0.0,-,-,-,-,[-0.000334 -0.000374  0.006259]
5->10:,2.543367,0.0,-,-,-,-,[ 0.0016    0.001992 -0.033757]
6->10:,2.222707,0.0,-,-,-,-,[-0.00207  -0.002604  0.043967]
7->10:,1.109812,0.113,-,-,-,-,[1.353575 1.516995 0.154307]
8->10:,0.578539,0.0,-,-,-,-,[ 3.50e-05 -1.06e-04  2.57e-04]
9->10:,0.327291,0.0,-,-,-,-,[ 0.000206  0.000138 -0.001015]
