Excited state,Excitation energy,Oscillator strength,dipole moment,Total dipole,TPA cross section(sos),TPA cross section(dI),Transition dipole moment
0,0.0,-,[0.007756 0.005106 0.006257],0.028461,-,-,-
1,8.721099,0.446,[0.007378 0.003078 0.007236],0.027407,0.0,0.0,[-1.025709  1.017298 -0.004472]
2,8.889705,0.001,[-0.017815  0.107986  0.016898],0.281478,0.16,0.02,[-0.003422 -0.009414  0.06428 ]
3,9.115719,0.021,[0.482956 0.308408 0.032173],1.458789,0.04,0.03,[ 0.005669 -0.035489  0.307103]
4,9.747482,0.002,[-0.531938 -0.50757  -0.059634],1.874943,4.34,2.64,[ 0.00497   0.004405 -0.084262]
5,10.166908,0.0,[0.018888 0.053959 0.003653],0.145606,7.97,4.33,[-0.004227  0.002257  0.015953]
6,10.539407,0.0,[ 0.002505 -0.020954  0.006903],0.056436,3.95,6.45,[ 1.1890e-02 -1.2185e-02 -4.0000e-05]
7,11.382256,0.01,[0.292863 0.184595 0.022805],0.881822,49.41,62.95,[-0.187718  0.026967 -0.005809]
8,12.05397,0.0,[ 0.025272 -0.034418  0.00499 ],0.109271,0.1,0.07,[ 0.000174 -0.004822 -0.001435]
9,12.329147,0.0,[-0.039636 -0.014423 -0.005493],0.108114,0.05,0.05,[-0.006404  0.001211  0.031434]
10,12.440439,0.473,[-0.468574 -0.264778 -0.03741 ],1.371292,0.51,0.77,[ 1.127218 -0.529642  0.019728]
1->2:,0.168606,0.0,-,-,-,-,[0.009023 0.002814 0.004013]
1->3:,0.39462,0.0,-,-,-,-,[ 0.021489 -0.002696 -0.003199]
2->3:,0.226014,0.001,-,-,-,-,[0.388572 0.253434 0.027491]
1->4:,1.026383,0.0,-,-,-,-,[ 0.030306  0.029569 -0.002722]
2->4:,0.857777,0.001,-,-,-,-,[0.214099 0.134458 0.012888]
3->4:,0.631763,0.053,-,-,-,-,[1.401054 1.190236 0.129148]
1->5:,1.445809,0.001,-,-,-,-,[-0.034493  0.021018  0.149184]
2->5:,1.277203,0.002,-,-,-,-,[-0.168431  0.192091  0.002729]
3->5:,1.05119,0.082,-,-,-,-,[-1.213817  1.311459  0.014075]
4->5:,0.419426,0.001,-,-,-,-,[ 0.237337 -0.233945 -0.002144]
1->6:,1.818308,0.001,-,-,-,-,[ 0.021236 -0.014099 -0.106382]
2->6:,1.649702,0.002,-,-,-,-,[ 0.170753 -0.178789 -0.001398]
3->6:,1.423689,0.045,-,-,-,-,[ 0.733429 -0.873835 -0.013232]
4->6:,0.791925,0.001,-,-,-,-,[-0.165339  0.178661  0.002861]
5->6:,0.372499,0.0,-,-,-,-,[-0.013286 -0.054189  0.003791]
1->7:,2.661157,0.001,-,-,-,-,[0.06488  0.086637 0.007583]
2->7:,2.492551,0.0,-,-,-,-,[ 0.006075 -0.003376 -0.003819]
3->7:,2.266537,0.0,-,-,-,-,[-0.002583 -0.00182   0.021049]
4->7:,1.634774,0.0,-,-,-,-,[-0.003663  0.002436  0.0006  ]
5->7:,1.215347,0.0,-,-,-,-,[ 0.001555  0.001822 -0.006319]
6->7:,0.842848,0.0,-,-,-,-,[-0.001226 -0.002183  0.003668]
1->8:,3.332871,0.0,-,-,-,-,[0.009036 0.005072 0.018296]
2->8:,3.164265,0.044,-,-,-,-,[-0.585485  0.473426 -0.003274]
3->8:,2.938251,0.01,-,-,-,-,[ 0.269395 -0.253563 -0.001531]
4->8:,2.306488,0.125,-,-,-,-,[ 1.108439 -0.993684 -0.006291]
5->8:,1.887062,0.034,-,-,-,-,[-0.549038 -0.655645 -0.060751]
6->8:,1.514563,0.035,-,-,-,-,[0.473167 0.843225 0.067112]
7->8:,0.671714,0.0,-,-,-,-,[-0.005932 -0.000389 -0.009684]
1->9:,3.608048,0.0,-,-,-,-,[-0.009787 -0.004006 -0.014581]
2->9:,3.439442,0.109,-,-,-,-,[-0.87657   0.723922 -0.001882]
3->9:,3.213429,0.001,-,-,-,-,[-0.040035  0.085526  0.003719]
4->9:,2.581665,0.195,-,-,-,-,[-1.296055  1.183176  0.010067]
5->9:,2.162239,0.156,-,-,-,-,[0.981628 1.399593 0.120273]
6->9:,1.78974,0.027,-,-,-,-,[-0.473722 -0.626797 -0.055916]
7->9:,0.946892,0.0,-,-,-,-,[ 0.012735  0.003159 -0.028062]
8->9:,0.275177,0.0,-,-,-,-,[ 0.067737 -0.020132  0.01274 ]
1->10:,3.71934,0.0,-,-,-,-,[-0.002217  0.000215  0.00051 ]
2->10:,3.550734,0.0,-,-,-,-,[-0.012532 -0.004999  0.027194]
3->10:,3.32472,0.0,-,-,-,-,[ 0.0006    0.003032 -0.011577]
4->10:,2.692957,0.0,-,-,-,-,[-0.008723  0.013948 -0.029888]
5->10:,2.27353,0.0,-,-,-,-,[0.005749 0.006939 0.044316]
6->10:,1.901031,0.0,-,-,-,-,[-0.00405  -0.005457 -0.026695]
7->10:,1.058183,0.1,-,-,-,-,[-1.625595 -1.088155 -0.13294 ]
8->10:,0.386469,0.0,-,-,-,-,[-0.002057 -0.000469  0.000632]
9->10:,0.111291,0.0,-,-,-,-,[ 0.00469   0.001677 -0.005814]
