Excited state,Excitation energy,Oscillator strength,dipole moment,Total dipole,TPA cross section(sos),TPA cross section(dI),Transition dipole moment
0,0.0,-,[-4.0e-06  1.0e-06  1.7e-05],4.4e-05,-,-,-
1,8.355656,0.426,[-4.0e-06 -0.0e+00  2.2e-05],5.7e-05,0.0,0.0,[ 1.045918 -0.993376 -0.009678]
2,8.818556,0.0,[-4.3e-05  4.0e-05  3.9e-05],0.000179,0.6,0.01,[-2.61e-04  2.31e-04  6.00e-06]
3,9.044078,0.026,[ 3.7e-05  4.8e-05 -1.8e-05],0.00016,0.0,0.0,[ 0.016371  0.020736 -0.342229]
4,9.683232,0.0,[-4.8e-05 -4.1e-05 -2.8e-05],0.000174,4.48,3.11,[ 1.26e-04 -1.19e-04 -6.00e-06]
5,9.920944,0.0,[ 2.3e-05 -4.1e-05  1.0e-06],0.00012,8.92,4.48,[ 2.6e-05  1.6e-05 -1.0e-06]
6,10.238148,0.0,[ 2.0e-06 -2.3e-05  1.8e-05],7.4e-05,5.04,7.32,[ 6.5e-05 -4.0e-06  7.0e-06]
7,11.611985,0.0,[3.6e-05 2.2e-05 1.0e-06],0.000107,36.8,64.01,[ 2.6e-05  1.8e-05 -4.1e-05]
8,11.667549,0.0,[ 3.7e-05 -2.5e-05  3.2e-05],0.000139,0.0,0.0,[-2.2e-05 -2.3e-05 -1.2e-05]
9,12.078428,0.0,[ 2.2e-05  1.7e-05 -2.2e-05],9.1e-05,0.0,0.0,[ 2.6e-05  2.7e-05 -9.0e-06]
10,12.683034,0.507,[-6.1e-05  2.8e-05  4.0e-06],0.00017,0.0,0.0,[-0.871429 -0.928398 -0.097937]
1->2:,0.462901,0.0,-,-,-,-,[-1.3e-05 -1.4e-05  1.4e-05]
1->3:,0.688422,0.0,-,-,-,-,[ 5.6e-05  1.0e-06 -0.0e+00]
2->3:,0.225521,0.001,-,-,-,-,[-0.241385 -0.253906 -0.026932]
1->4:,1.327576,0.0,-,-,-,-,[-0.000116 -0.000121 -0.000122]
2->4:,0.864676,0.0,-,-,-,-,[ 2.6e-05  4.0e-06 -1.1e-05]
3->4:,0.639154,0.061,-,-,-,-,[-1.349703 -1.421893 -0.150719]
1->5:,1.565288,0.001,-,-,-,-,[-0.007016 -0.008584  0.143816]
2->5:,1.102388,0.0,-,-,-,-,[ 1.3e-05 -8.0e-06 -2.7e-05]
3->5:,0.876866,0.07,-,-,-,-,[-1.306445  1.238483  0.012099]
4->5:,0.237712,0.0,-,-,-,-,[-3.3e-05  3.8e-05 -3.0e-05]
1->6:,1.882492,0.0,-,-,-,-,[-0.004419 -0.005382  0.090352]
2->6:,1.419592,0.0,-,-,-,-,[ 1.6e-05 -1.2e-05 -2.9e-05]
3->6:,1.19407,0.054,-,-,-,-,[-0.989793  0.939762  0.009259]
4->6:,0.554916,0.0,-,-,-,-,[-3.5e-05  2.5e-05 -2.4e-05]
5->6:,0.317204,0.0,-,-,-,-,[ 9.0e-06 -1.7e-05 -2.4e-05]
1->7:,3.256329,0.001,-,-,-,-,[0.078624 0.082721 0.008773]
2->7:,2.793429,0.0,-,-,-,-,[-3.7e-05 -3.0e-05  2.0e-06]
3->7:,2.567907,0.0,-,-,-,-,[-4.0e-06 -5.0e-06  1.5e-05]
4->7:,1.928753,0.0,-,-,-,-,[ 3.e-06 -5.e-06 -2.e-06]
5->7:,1.691041,0.0,-,-,-,-,[-1.0e-05  1.3e-05 -0.0e+00]
6->7:,1.373837,0.0,-,-,-,-,[-1.e-06  4.e-06 -0.e+00]
1->8:,3.311893,0.0,-,-,-,-,[-2.54e-04  2.12e-04  2.00e-06]
2->8:,2.848993,0.082,-,-,-,-,[-0.786388  0.746616  0.007332]
3->8:,2.623471,0.0,-,-,-,-,[-2.3e-05  2.8e-05  2.0e-05]
4->8:,1.984317,0.053,-,-,-,-,[ 0.759452 -0.721711 -0.007151]
5->8:,1.746605,0.005,-,-,-,-,[0.239009 0.249909 0.026576]
6->8:,1.429401,0.018,-,-,-,-,[0.497505 0.523897 0.055542]
7->8:,0.055564,0.0,-,-,-,-,[-0.000754 -0.000967  0.015875]
1->9:,3.722772,0.0,-,-,-,-,[0.e+00 5.e-05 3.e-06]
