Excited state,Excitation energy,Oscillator strength,dipole moment,Total dipole,TPA cross section(sos),TPA cross section(dI),Transition dipole moment
0,0.0,-,[-0.010217  0.00969   0.000104],0.035792,-,-,-
1,8.732117,0.445,[-7.338e-03  6.956e-03  7.400e-05],0.025701,0.01,0.0,[-1.046282  0.993695  0.009702]
2,8.908754,0.0,[-0.198725  0.188713  0.001877],0.696586,0.14,0.01,[-3.417e-03  3.231e-03  1.300e-05]
3,9.131951,0.023,[ 0.019087 -0.018128 -0.000187],0.06691,0.0,0.01,[ 0.015258  0.019512 -0.320994]
4,9.731881,0.0,[ 3.747e-03 -3.486e-03 -4.100e-05],0.013009,4.42,2.62,[-8.33e-04  7.88e-04 -1.50e-05]
5,10.141539,0.0,[ 0.128775 -0.122437 -0.001212],0.451655,7.31,3.79,[ 0.001177  0.001436 -0.021444]
6,10.508004,0.0,[ 0.049308 -0.046901 -0.000451],0.172973,4.13,6.61,[-0.000624 -0.000895  0.017419]
7,11.375627,0.006,[ 0.033632 -0.03194  -0.000319],0.117894,32.79,62.99,[-0.100083 -0.105339 -0.010935]
8,12.076236,0.0,[ 0.103446 -0.098146 -0.000949],0.362453,0.01,0.0,[ 5.9e-05 -9.3e-05 -4.0e-06]
9,12.341608,0.0,[ 0.029239 -0.027612 -0.000258],0.102221,0.09,0.11,[ 4.4e-05 -1.4e-05 -3.4e-05]
10,12.432953,0.435,[-0.146861  0.139849  0.001398],0.515465,1.85,0.25,[-0.865939  0.823558  0.008203]
1->2:,0.176637,0.0,-,-,-,-,[ 6.58e-04 -5.58e-04 -9.00e-06]
1->3:,0.399834,0.0,-,-,-,-,[-0.000542 -0.000654  0.014818]
2->3:,0.223197,0.001,-,-,-,-,[-0.258592 -0.272091 -0.028815]
1->4:,0.999764,0.0,-,-,-,-,[-6.60e-05 -3.72e-04 -6.50e-05]
2->4:,0.823127,0.0,-,-,-,-,[-0.059883  0.056936  0.000571]
3->4:,0.59993,0.058,-,-,-,-,[1.364186 1.435877 0.152272]
1->5:,1.409422,0.001,-,-,-,-,[ 0.007089  0.008451 -0.142926]
2->5:,1.232784,0.0,-,-,-,-,[-0.000663 -0.000672 -0.000496]
3->5:,1.009587,0.081,-,-,-,-,[-1.309403  1.242679  0.0122  ]
4->5:,0.409658,0.0,-,-,-,-,[0.001422 0.001285 0.000298]
1->6:,1.775887,0.001,-,-,-,-,[ 0.005458  0.006552 -0.110812]
2->6:,1.599249,0.0,-,-,-,-,[0.00456  0.004937 0.000123]
3->6:,1.376052,0.052,-,-,-,-,[-0.904387  0.858673  0.00845 ]
4->6:,0.776123,0.0,-,-,-,-,[0.025578 0.026803 0.002942]
5->6:,0.366465,0.0,-,-,-,-,[ 0.047791 -0.045506 -0.000466]
1->7:,2.64351,0.001,-,-,-,-,[0.073458 0.077253 0.008271]
2->7:,2.466872,0.0,-,-,-,-,[ 0.001601  0.001915 -0.026102]
3->7:,2.243675,0.0,-,-,-,-,[-4.7e-05  5.6e-05  8.0e-06]
4->7:,1.643746,0.0,-,-,-,-,[ 0.000356  0.000432 -0.007447]
5->7:,1.234088,0.0,-,-,-,-,[ 7.0e-05 -7.7e-05 -1.0e-06]
6->7:,0.867623,0.0,-,-,-,-,[ 1.0e-05 -1.7e-05 -3.0e-06]
1->8:,3.344119,0.0,-,-,-,-,[ 2.337e-03 -2.188e-03 -3.700e-05]
2->8:,3.167481,0.041,-,-,-,-,[-0.524083  0.497705  0.004891]
3->8:,2.944285,0.0,-,-,-,-,[0.052719 0.055472 0.006081]
4->8:,2.344355,0.148,-,-,-,-,[-1.161824  1.103865  0.010933]
5->8:,1.934697,0.038,-,-,-,-,[0.613546 0.644645 0.068409]
6->8:,1.568232,0.039,-,-,-,-,[0.69273  0.728633 0.077296]
7->8:,0.700609,0.0,-,-,-,-,[ 0.000287  0.000422 -0.007058]
1->9:,3.609491,0.0,-,-,-,-,[ 1.984e-03 -1.896e-03 -7.000e-06]
2->9:,3.432854,0.113,-,-,-,-,[-0.839655  0.797483  0.00786 ]
3->9:,3.209657,0.001,-,-,-,-,[-0.093444 -0.098382 -0.01073 ]
4->9:,2.609727,0.185,-,-,-,-,[ 1.232336 -1.17112  -0.011622]
5->9:,2.20007,0.144,-,-,-,-,[-1.121847 -1.179362 -0.125132]
6->9:,1.833605,0.027,-,-,-,-,[-0.534589 -0.562068 -0.059634]
7->9:,0.965982,0.0,-,-,-,-,[ 0.001372  0.001717 -0.030082]
8->9:,0.265372,0.0,-,-,-,-,[ 0.073879 -0.070308 -0.000687]
1->10:,3.700836,0.0,-,-,-,-,[ 9.32e-04 -8.78e-04 -1.00e-05]
2->10:,3.524198,0.0,-,-,-,-,[1.60e-05 8.00e-05 1.26e-04]
3->10:,3.301001,0.0,-,-,-,-,[ 0.000269  0.000329 -0.004489]
4->10:,2.701072,0.0,-,-,-,-,[1.9e-05 2.0e-06 6.0e-05]
5->10:,2.291414,0.0,-,-,-,-,[-0.001986 -0.002499  0.040233]
6->10:,1.924949,0.0,-,-,-,-,[-0.001443 -0.001817  0.02973 ]
7->10:,1.057326,0.104,-,-,-,-,[1.376514 1.449875 0.153691]
8->10:,0.356717,0.0,-,-,-,-,[ 5.1e-05 -4.7e-05  3.0e-06]
9->10:,0.091344,0.0,-,-,-,-,[ 4.0e-05 -4.8e-05 -4.0e-06]
