Excited state,Excitation energy,Oscillator strength,dipole moment,Total dipole,TPA cross section(sos),TPA cross section(dI),Transition dipole moment
0,0.0,-,[0.000262 0.000288 0.00033 ],0.001298,-,-,-
1,8.731788,0.446,[0.000221 0.000187 0.000387],0.001228,0.0,0.0,[-1.046093  0.995701  0.008966]
2,8.952307,0.0,[-0.000196  0.006613  0.001069],0.017035,0.15,0.01,[-0.000866  0.000106  0.003867]
3,9.141606,0.024,[0.023507 0.016434 0.001713],0.073031,0.0,0.0,[ 0.014454  0.020429 -0.32347 ]
4,9.73827,0.0,[-0.024738 -0.028742 -0.003329],0.096759,4.49,2.67,[-0.000394 -0.000126  0.004274]
5,10.158488,0.0,[-4.600e-05  3.314e-03  2.090e-04],0.008441,7.45,3.85,[ 2.05e-04 -5.60e-05 -8.14e-04]
6,10.520899,0.0,[-0.001078 -0.00021   0.000322],0.00291,4.32,6.82,[ 0.000697 -0.000563 -0.000307]
7,11.433731,0.0,[0.014957 0.010118 0.001302],0.046018,33.05,62.96,[-0.008537  0.001945 -0.000242]
8,12.068246,0.0,[ 0.001239 -0.001661  0.000259],0.005308,0.0,0.0,[-1.55e-04 -1.78e-04 -5.40e-05]
9,12.346786,0.0,[-0.002482 -0.000837 -0.000373],0.006725,0.0,0.0,[-9.000e-05 -8.600e-05  1.626e-03]
10,12.476706,0.441,[-0.019344 -0.016996 -0.00205 ],0.065657,0.0,0.0,[ 0.886759 -0.810875 -0.006445]
1->2:,0.220518,0.0,-,-,-,-,[0.000267 0.000257 0.000211]
1->3:,0.409817,0.0,-,-,-,-,[-0.000576  0.000509  0.00016 ]
2->3:,0.189299,0.001,-,-,-,-,[-0.276799 -0.286193 -0.030446]
1->4:,1.006482,0.0,-,-,-,-,[-0.001655 -0.001737  0.000114]
2->4:,0.785963,0.0,-,-,-,-,[-0.01254  -0.010303 -0.000962]
3->4:,0.596664,0.058,-,-,-,-,[1.371592 1.426961 0.151462]
1->5:,1.4267,0.001,-,-,-,-,[ 0.008474  0.007214 -0.144606]
2->5:,1.206182,0.0,-,-,-,-,[ 0.010283 -0.010743 -0.000219]
3->5:,1.016883,0.08,-,-,-,-,[-1.299055  1.240838  0.012287]
4->5:,0.420218,0.0,-,-,-,-,[ 1.2452e-02 -9.9150e-03  2.9000e-05]
1->6:,1.789111,0.001,-,-,-,-,[ 0.006477  0.005778 -0.113111]
2->6:,1.568592,0.0,-,-,-,-,[ 0.012226 -0.010918 -0.000134]
3->6:,1.379293,0.054,-,-,-,-,[-0.913055  0.876591  0.008923]
4->6:,0.782629,0.0,-,-,-,-,[ 1.016e-02 -8.506e-03 -8.000e-06]
5->6:,0.362411,0.0,-,-,-,-,[ 0.000991  0.002851 -0.000193]
1->7:,2.701943,0.001,-,-,-,-,[0.07293  0.077652 0.00816 ]
2->7:,2.481425,0.0,-,-,-,-,[ 0.0003   -0.000129 -0.000356]
3->7:,2.292126,0.0,-,-,-,-,[ 9.60e-05  1.09e-04 -9.84e-04]
4->7:,1.695461,0.0,-,-,-,-,[ 0.000142 -0.00012  -0.00014 ]
5->7:,1.275243,0.0,-,-,-,-,[-3.70e-05 -7.00e-05  2.95e-04]
6->7:,0.912832,0.0,-,-,-,-,[-7.80e-05 -9.20e-05  2.44e-04]
1->8:,3.336458,0.0,-,-,-,-,[ 7.65e-04 -2.80e-05  9.51e-04]
2->8:,3.11594,0.047,-,-,-,-,[-0.573962  0.540733  0.004878]
3->8:,2.926641,0.0,-,-,-,-,[-0.014547  0.01425   0.000195]
4->8:,2.329976,0.133,-,-,-,-,[-1.107635  1.04918   0.010181]
5->8:,1.909758,0.03,-,-,-,-,[0.546157 0.576867 0.060831]
6->8:,1.547347,0.036,-,-,-,-,[0.659034 0.711011 0.074299]
7->8:,0.634515,0.0,-,-,-,-,[ 0.000275  0.000685 -0.009163]
1->9:,3.614998,0.0,-,-,-,-,[-8.60e-05 -6.12e-04 -8.29e-04]
2->9:,3.394479,0.11,-,-,-,-,[-0.836302  0.788142  0.007252]
3->9:,3.20518,0.0,-,-,-,-,[ 0.001438 -0.002362 -0.000137]
4->9:,2.608516,0.202,-,-,-,-,[ 1.291286 -1.224894 -0.012079]
5->9:,2.188297,0.151,-,-,-,-,[-1.144228 -1.221436 -0.128216]
6->9:,1.825887,0.032,-,-,-,-,[-0.581242 -0.618728 -0.065028]
7->9:,0.913054,0.0,-,-,-,-,[ 0.001721  0.001597 -0.030249]
8->9:,0.278539,0.0,-,-,-,-,[ 0.003613 -0.000854  0.000711]
1->10:,3.744917,0.0,-,-,-,-,[-4.00e-06 -1.22e-04  3.50e-05]
2->10:,3.524399,0.0,-,-,-,-,[-0.000515 -0.000532  0.001728]
3->10:,3.3351,0.0,-,-,-,-,[-2.80e-05 -2.30e-05  1.89e-04]
4->10:,2.738436,0.0,-,-,-,-,[-0.000153 -0.000247  0.001745]
5->10:,2.318217,0.0,-,-,-,-,[ 0.001869  0.002446 -0.040428]
6->10:,1.955807,0.0,-,-,-,-,[ 0.001462  0.001864 -0.031157]
7->10:,1.042974,0.103,-,-,-,-,[-1.400297 -1.436282 -0.153394]
8->10:,0.408459,0.0,-,-,-,-,[-0.0e+00  2.0e-05  2.6e-05]
9->10:,0.12992,0.0,-,-,-,-,[ 5.40e-05  6.30e-05 -2.96e-04]
