Excited state,Excitation energy,Oscillator strength,dipole moment,Total dipole,TPA cross section(sos),TPA cross section(dI),Transition dipole moment
0,0.0,-,[3.70e-05 6.72e-04 5.56e-04],0.002218,-,-,-
1,8.736911,0.446,[7.00e-05 4.48e-04 6.65e-04],0.002045,0.0,0.0,[ 1.045017 -0.994662 -0.009339]
2,9.061635,0.0,[-0.002493  0.021402  0.002332],0.055087,0.16,0.0,[ 0.001608 -0.002954  0.008817]
3,9.174334,0.025,[0.027842 0.011926 0.001331],0.07706,0.0,0.0,[ 0.015545  0.020224 -0.33482 ]
4,9.841549,0.0,[-0.031076 -0.038334 -0.004513],0.125953,5.03,3.1,[-0.000541  0.001213 -0.005915]
5,10.216104,0.0,[0.001347 0.001484 0.000429],0.005209,5.85,2.6,[ 2.800e-05 -1.700e-05  2.139e-03]
6,10.538546,0.0,[0.000304 0.000456 0.000418],0.001751,7.04,9.17,[-0.000916  0.001227  0.00073 ]
7,11.567769,0.0,[0.022819 0.012079 0.001757],0.065776,31.97,59.05,[0.015892 0.001906 0.001138]
8,12.171488,0.0,[ 2.168e-03 -5.007e-03 -7.800e-05],0.013871,0.0,0.0,[-0.000122 -0.000123  0.000607]
9,12.422525,0.0,[-0.000225 -0.003436 -0.000191],0.008766,0.0,0.0,[ 0.00015   0.000165 -0.002515]
10,12.659958,0.422,[-0.031041 -0.019848 -0.002865],0.09393,0.01,0.01,[ 0.818778 -0.830055 -0.010702]
1->2:,0.324724,0.0,-,-,-,-,[-9.2e-05 -1.1e-04  1.7e-04]
1->3:,0.437423,0.0,-,-,-,-,[ 0.000827 -0.000805 -0.000701]
2->3:,0.112698,0.0,-,-,-,-,[-0.270949 -0.290076 -0.030058]
1->4:,1.104638,0.0,-,-,-,-,[-0.000636 -0.00068   0.000198]
2->4:,0.779914,0.0,-,-,-,-,[0.033479 0.026874 0.002745]
3->4:,0.667215,0.067,-,-,-,-,[-1.386724 -1.461419 -0.152706]
1->5:,1.479193,0.001,-,-,-,-,[ 0.006725  0.00737  -0.131662]
2->5:,1.154468,0.0,-,-,-,-,[-0.020356  0.021987  0.000107]
3->5:,1.04177,0.059,-,-,-,-,[ 1.09198  -1.051679 -0.010845]
4->5:,0.374555,0.0,-,-,-,-,[ 1.3321e-02 -9.2860e-03 -8.2000e-05]
1->6:,1.801635,0.001,-,-,-,-,[ 0.007399  0.00818  -0.145403]
2->6:,1.476911,0.0,-,-,-,-,[-0.030798  0.027659 -0.000154]
3->6:,1.364212,0.082,-,-,-,-,[ 1.138186 -1.072486 -0.009907]
4->6:,0.696997,0.0,-,-,-,-,[ 1.6983e-02 -1.1214e-02 -2.0000e-06]
5->6:,0.322443,0.0,-,-,-,-,[ 0.002891  0.003829 -0.00042 ]
1->7:,2.830858,0.001,-,-,-,-,[0.080038 0.082187 0.008681]
2->7:,2.506134,0.0,-,-,-,-,[-0.000158  0.000531  0.001497]
3->7:,2.393435,0.0,-,-,-,-,[ 5.900e-05  1.080e-04 -1.795e-03]
4->7:,1.72622,0.0,-,-,-,-,[ 0.000265 -0.000185 -0.000508]
5->7:,1.351665,0.0,-,-,-,-,[-1.28e-04  1.00e-06  3.61e-04]
6->7:,1.029223,0.0,-,-,-,-,[-0.000203 -0.000152  0.00045 ]
1->8:,3.434578,0.0,-,-,-,-,[ 0.000926 -0.002186 -0.001742]
2->8:,3.109853,0.024,-,-,-,-,[-0.405448  0.394401  0.004213]
3->8:,2.997155,0.0,-,-,-,-,[-0.020712  0.024195  0.000192]
4->8:,2.32994,0.19,-,-,-,-,[ 1.319844 -1.257496 -0.012423]
5->8:,1.955385,0.037,-,-,-,-,[-0.595156 -0.636803 -0.066104]
6->8:,1.632942,0.067,-,-,-,-,[-0.913048 -0.917459 -0.097871]
7->8:,0.60372,0.0,-,-,-,-,[-9.000e-05 -2.370e-04  2.968e-03]
1->9:,3.685614,0.0,-,-,-,-,[ 0.001703 -0.000815  0.000974]
2->9:,3.360889,0.13,-,-,-,-,[-0.901127  0.874509  0.009324]
3->9:,3.248191,0.0,-,-,-,-,[-0.013257  0.007347  0.000118]
4->9:,2.580976,0.141,-,-,-,-,[-1.085702  1.026088  0.009761]
5->9:,2.206421,0.1,-,-,-,-,[0.949549 0.971726 0.102832]
6->9:,1.883979,0.041,-,-,-,-,[0.657185 0.678913 0.071549]
7->9:,0.854756,0.0,-,-,-,-,[-0.00152  -0.001792  0.031158]
8->9:,0.251036,0.0,-,-,-,-,[ 0.009081 -0.004408  0.001282]
1->10:,3.923047,0.0,-,-,-,-,[-5.40e-05  2.37e-04 -6.50e-05]
2->10:,3.598323,0.0,-,-,-,-,[-5.600e-05 -5.900e-05 -2.231e-03]
3->10:,3.485625,0.0,-,-,-,-,[2.40e-05 3.10e-05 3.92e-04]
4->10:,2.818409,0.0,-,-,-,-,[-7.100e-05 -1.320e-04  2.685e-03]
5->10:,2.443855,0.0,-,-,-,-,[-0.001704 -0.002176  0.036154]
6->10:,2.121412,0.0,-,-,-,-,[-0.001947 -0.002461  0.041012]
7->10:,1.092189,0.111,-,-,-,-,[1.381121 1.490438 0.154158]
8->10:,0.48847,0.0,-,-,-,-,[ 3.00e-05 -6.10e-05  1.39e-04]
9->10:,0.237434,0.0,-,-,-,-,[ 1.35e-04  7.00e-05 -4.01e-04]
