Excited state,Excitation energy,Oscillator strength,dipole moment,Total dipole,TPA cross section(sos),TPA cross section(dI),Transition dipole moment
0,0.0,-,[-0.001265 -0.000421  0.000108],0.003401,-,-,-
1,8.674116,0.442,[-0.00112  -0.000268  0.000167],0.002957,0.0,0.0,[-1.047209  0.992384  0.009687]
2,9.054254,0.0,[-0.015778 -0.035892 -0.002438],0.099846,0.17,0.0,[ 0.003644 -0.001438 -0.021178]
3,9.139937,0.025,[-0.048868 -0.004362 -0.002833],0.124912,0.0,0.0,[ 0.015861  0.019921 -0.334944]
4,9.830454,0.0,[0.051703 0.073654 0.006544],0.229335,5.14,3.2,[-0.001674  0.00045   0.011287]
5,10.162655,0.0,[ 0.010241 -0.01601  -0.000335],0.048315,5.01,2.0,[-0.000241 -0.000317  0.002618]
6,10.483296,0.0,[ 0.007182 -0.014365 -0.00042 ],0.040835,7.97,9.91,[-0.000121 -0.000923  0.004105]
7,11.596946,0.0,[-0.0442   -0.017713 -0.003153],0.121296,32.38,58.51,[-0.026584  0.000754 -0.000835]
8,12.127255,0.0,[0.006919 0.00426  0.000638],0.020716,0.0,0.0,[-1.300e-05 -4.200e-05  1.515e-03]
9,12.378561,0.0,[0.008836 0.002709 0.000589],0.023539,0.0,0.0,[-0.000252 -0.000331  0.005802]
10,12.70627,0.421,[0.043356 0.048713 0.00486 ],0.166214,0.04,0.02,[ 0.78091  -0.860706 -0.014203]
1->2:,0.380138,0.0,-,-,-,-,[-1.00e-05 -2.70e-05 -1.44e-04]
1->3:,0.46582,0.0,-,-,-,-,[-1.68e-04  4.28e-04  1.20e-05]
2->3:,0.085683,0.0,-,-,-,-,[-0.268658 -0.296023 -0.030367]
1->4:,1.156338,0.0,-,-,-,-,[-0.000243 -0.000239 -0.00187 ]
2->4:,0.7762,0.0,-,-,-,-,[-0.07797  -0.072566 -0.008173]
3->4:,0.690517,0.069,-,-,-,-,[-1.390084 -1.457549 -0.152479]
1->5:,1.488539,0.001,-,-,-,-,[ 0.00551   0.007396 -0.12071 ]
2->5:,1.108401,0.0,-,-,-,-,[-0.04473   0.052618  0.001259]
3->5:,1.022718,0.049,-,-,-,-,[-0.981368  0.990172  0.012476]
4->5:,0.332201,0.0,-,-,-,-,[ 0.021052 -0.011711  0.000519]
1->6:,1.80918,0.001,-,-,-,-,[ 0.006847  0.009242 -0.150944]
2->6:,1.429042,0.0,-,-,-,-,[-0.077509  0.069257  0.000881]
3->6:,1.34336,0.091,-,-,-,-,[-1.217901  1.133882  0.009817]
4->6:,0.652842,0.0,-,-,-,-,[ 0.028447 -0.019727  0.000396]
5->6:,0.320641,0.0,-,-,-,-,[ 0.000916 -0.016581 -0.001232]
1->7:,2.92283,0.001,-,-,-,-,[-0.082573 -0.082456 -0.008815]
2->7:,2.542692,0.0,-,-,-,-,[ 0.000254  0.000532 -0.00089 ]
3->7:,2.457009,0.0,-,-,-,-,[ 0.000223  0.000251 -0.004597]
4->7:,1.766492,0.0,-,-,-,-,[ 7.40e-05 -1.04e-04  5.08e-04]
5->7:,1.434291,0.0,-,-,-,-,[ 7.90e-05 -1.03e-04  6.27e-04]
6->7:,1.11365,0.0,-,-,-,-,[ 6.20e-05 -4.60e-05  9.45e-04]
1->8:,3.453139,0.0,-,-,-,-,[-0.001554  0.002443 -0.003637]
2->8:,3.073001,0.025,-,-,-,-,[-0.403573  0.405921  0.005073]
3->8:,2.987318,0.0,-,-,-,-,[ 0.047222 -0.043023 -0.000702]
4->8:,2.296801,0.185,-,-,-,-,[ 1.319515 -1.242549 -0.011423]
5->8:,1.9646,0.029,-,-,-,-,[0.494168 0.588538 0.058401]
6->8:,1.643959,0.074,-,-,-,-,[0.977742 0.926675 0.101402]
7->8:,0.530309,0.0,-,-,-,-,[-0.000162 -0.000142  0.002984]
1->9:,3.704445,0.0,-,-,-,-,[ 0.001663 -0.001132 -0.001892]
2->9:,3.324307,0.128,-,-,-,-,[ 0.886418 -0.883169 -0.010637]
3->9:,3.238625,0.0,-,-,-,-,[-0.029118  0.035145  0.000272]
4->9:,2.548107,0.142,-,-,-,-,[ 1.114262 -1.019566 -0.007856]
5->9:,2.215906,0.091,-,-,-,-,[0.911448 0.913861 0.097501]
6->9:,1.895265,0.052,-,-,-,-,[0.73882  0.751612 0.079682]
7->9:,0.781615,0.0,-,-,-,-,[ 0.001451  0.001871 -0.030955]
8->9:,0.251306,0.0,-,-,-,-,[ 0.017686 -0.004674  0.00015 ]
1->10:,4.032153,0.0,-,-,-,-,[-6.38e-04  3.82e-04  1.20e-05]
2->10:,3.652016,0.0,-,-,-,-,[ 0.000301  0.000375 -0.004476]
3->10:,3.566333,0.0,-,-,-,-,[ 8.50e-05  9.00e-05 -4.22e-04]
4->10:,2.875816,0.0,-,-,-,-,[-0.000333 -0.000372  0.006117]
5->10:,2.543615,0.0,-,-,-,-,[ 0.001599  0.001992 -0.033743]
6->10:,2.222974,0.0,-,-,-,-,[ 0.002074  0.002599 -0.043994]
7->10:,1.109324,0.113,-,-,-,-,[1.356605 1.515381 0.154346]
8->10:,0.579015,0.0,-,-,-,-,[ 7.00e-05 -4.60e-05 -3.65e-04]
9->10:,0.327708,0.0,-,-,-,-,[-5.10e-05  5.90e-05 -7.63e-04]
