Excited state,Excitation energy,Oscillator strength,dipole moment,Total dipole,TPA cross section(sos),TPA cross section(dI),Transition dipole moment
0,0.0,-,[-0.000473  0.000703 -0.002257],0.006127,-,-,-
1,8.736338,0.445,[-0.000481  0.000539 -0.002806],0.007365,0.0,0.0,[ 1.044435 -0.993486 -0.008736]
2,9.055106,0.001,[-0.003201  0.010663 -0.004693],0.030709,0.16,0.0,[ 0.043637 -0.039688  0.003102]
3,9.171535,0.025,[0.00695  0.013463 0.004168],0.039941,0.01,0.0,[ 0.010761  0.023453 -0.334064]
4,9.834333,0.0,[-0.017686 -0.013842  0.001847],0.057278,4.99,3.07,[-0.01659   0.015657 -0.001994]
5,10.212791,0.0,[ 0.006455 -0.008424 -0.001508],0.027245,5.96,2.67,[0.001693 0.002614 0.000698]
6,10.536323,0.0,[ 0.002748 -0.006355 -0.002058],0.018359,6.84,9.01,[-0.009191  0.000369  0.000872]
7,11.558144,0.0,[0.007523 0.010718 0.001184],0.033418,31.93,59.29,[ 0.004062 -0.000444  0.005214]
8,12.165552,0.0,[ 0.006728 -0.001764 -0.000401],0.017708,0.0,0.0,[-0.00111  -0.001007  0.00018 ]
9,12.417266,0.0,[ 0.004509 -0.001377  0.000174],0.011992,0.01,0.01,[0.000267 0.000226 0.000111]
10,12.647145,0.422,[-1.8533e-02 -5.7020e-03 -4.3000e-05],0.049284,0.0,0.0,[-0.850071  0.799874  0.010953]
1->2:,0.318768,0.0,-,-,-,-,[-0.000748 -0.001402 -0.000232]
1->3:,0.435197,0.0,-,-,-,-,[-0.005055  0.002349 -0.000738]
2->3:,0.116429,0.0,-,-,-,-,[-0.273874 -0.288112 -0.029128]
1->4:,1.097995,0.0,-,-,-,-,[-0.007633 -0.007599  0.001446]
2->4:,0.779227,0.0,-,-,-,-,[0.012988 0.009809 0.003171]
3->4:,0.662798,0.066,-,-,-,-,[-1.409515 -1.437667 -0.14668 ]
1->5:,1.476453,0.001,-,-,-,-,[ 0.01149   0.002189 -0.132627]
2->5:,1.157686,0.0,-,-,-,-,[-0.008246  0.00767  -0.004248]
3->5:,1.041256,0.06,-,-,-,-,[ 1.087058 -1.084651 -0.016177]
4->5:,0.378459,0.0,-,-,-,-,[ 0.006821 -0.008549 -0.003142]
1->6:,1.799985,0.001,-,-,-,-,[-0.01201  -0.002982  0.14334 ]
2->6:,1.481217,0.0,-,-,-,-,[ 0.010481 -0.011053  0.006211]
3->6:,1.364788,0.08,-,-,-,-,[-1.11613   1.070589  0.014235]
4->6:,0.70199,0.0,-,-,-,-,[-0.010018  0.00779   0.002838]
5->6:,0.323532,0.0,-,-,-,-,[-0.003885  0.004783 -0.003317]
1->7:,2.821806,0.001,-,-,-,-,[0.078908 0.082331 0.008294]
2->7:,2.503038,0.0,-,-,-,-,[0.00661  0.003742 0.001574]
3->7:,2.386609,0.0,-,-,-,-,[-1.700e-04 -9.300e-05 -1.022e-03]
4->7:,1.723811,0.0,-,-,-,-,[-0.000858  0.001125 -0.000242]
5->7:,1.345353,0.0,-,-,-,-,[-0.001259  0.001493  0.000189]
6->7:,1.021821,0.0,-,-,-,-,[-0.000115 -0.001224 -0.000253]
1->8:,3.429214,0.0,-,-,-,-,[ 3.3933e-02 -2.5985e-02 -7.4000e-05]
2->8:,3.110447,0.026,-,-,-,-,[-0.415493  0.403494  0.005024]
3->8:,2.994017,0.0,-,-,-,-,[-0.008185  0.013904 -0.004688]
4->8:,2.33122,0.186,-,-,-,-,[ 1.320202 -1.231178 -0.016083]
5->8:,1.952761,0.036,-,-,-,-,[-0.576402 -0.652515 -0.06385 ]
6->8:,1.629229,0.065,-,-,-,-,[0.889683 0.910133 0.092779]
7->8:,0.607408,0.0,-,-,-,-,[ 0.000493 -0.00094   0.003352]
1->9:,3.680928,0.0,-,-,-,-,[ 0.021325 -0.025084 -0.000233]
2->9:,3.362161,0.129,-,-,-,-,[-0.90107   0.866578  0.011307]
3->9:,3.245731,0.0,-,-,-,-,[-0.00697  -0.001772  0.00569 ]
4->9:,2.582934,0.145,-,-,-,-,[-1.115901  1.022632  0.012973]
5->9:,2.204475,0.103,-,-,-,-,[0.948352 1.002429 0.100836]
6->9:,1.880943,0.041,-,-,-,-,[-0.646706 -0.685553 -0.068853]
7->9:,0.859122,0.0,-,-,-,-,[-0.001975 -0.001194  0.031154]
8->9:,0.251714,0.0,-,-,-,-,[-5.400e-05 -2.074e-03 -5.087e-03]
1->10:,3.910807,0.0,-,-,-,-,[-0.000494 -0.000276 -0.000281]
2->10:,3.59204,0.0,-,-,-,-,[ 0.002157  0.002254 -0.00301 ]
3->10:,3.47561,0.0,-,-,-,-,[-0.001061 -0.001041 -0.000199]
4->10:,2.812813,0.0,-,-,-,-,[-0.000631 -0.000407  0.000663]
5->10:,2.434354,0.0,-,-,-,-,[ 0.001411  0.002362 -0.036426]
6->10:,2.110822,0.0,-,-,-,-,[-0.001742 -0.00252   0.040393]
7->10:,1.089001,0.111,-,-,-,-,[-1.424058 -1.448101 -0.147954]
8->10:,0.481593,0.0,-,-,-,-,[-8.65e-04  7.64e-04  5.00e-05]
9->10:,0.229879,0.0,-,-,-,-,[-0.000446  0.001046  0.000223]
