Excited state,Excitation energy,Oscillator strength,dipole moment,Total dipole,TPA cross section(sos),TPA cross section(dI),Transition dipole moment
0,0.0,-,[-0.004463  0.003609 -0.00019 ],0.014597,-,-,-
1,8.740089,0.446,[-0.00324   0.003313 -0.000178],0.011786,0.0,0.0,[ 1.049993 -0.990156 -0.008732]
2,9.068383,0.001,[-0.105197 -0.050228 -0.00834 ],0.297056,0.18,0.0,[-0.014065  0.007845  0.050567]
3,9.132453,0.023,[-0.078413  0.016354 -0.002394],0.203685,0.0,0.0,[ 0.011427  0.022518 -0.323059]
4,9.818621,0.0,[0.094981 0.14384  0.013294],0.439422,4.88,3.04,[-0.005643  0.003511  0.016777]
5,10.181459,0.0,[ 6.2556e-02 -4.5612e-02  3.1000e-05],0.19678,4.5,1.68,[-0.000574 -0.000537  0.000385]
6,10.51265,0.0,[ 0.058718 -0.029435  0.00087 ],0.166964,7.81,9.67,[-0.002137 -0.001761  0.01228 ]
7,11.531293,0.0,[-0.098845 -0.04313  -0.007167],0.27472,32.18,58.4,[ 0.025458 -0.010232 -0.000921]
8,12.179827,0.0,[ 0.013081 -0.044184 -0.002006],0.117235,0.0,0.0,[-0.000281 -0.000183 -0.001717]
9,12.432887,0.0,[ 0.012828 -0.027448 -0.001115],0.077062,0.0,0.0,[-0.000234 -0.000284  0.005767]
10,12.634325,0.414,[0.056399 0.125206 0.010241],0.350007,0.06,0.09,[ 0.895198 -0.732359 -0.002166]
1->2:,0.328294,0.0,-,-,-,-,[0.000384 0.000786 0.001455]
1->3:,0.392364,0.0,-,-,-,-,[-7.370e-04  9.700e-05 -3.949e-03]
2->3:,0.06407,0.0,-,-,-,-,[0.302006 0.299214 0.031725]
1->4:,1.078532,0.0,-,-,-,-,[-0.002732 -0.002707  0.001313]
2->4:,0.750238,0.001,-,-,-,-,[0.191909 0.204326 0.020842]
3->4:,0.686168,0.067,-,-,-,-,[-1.393587 -1.425038 -0.149403]
1->5:,1.44137,0.0,-,-,-,-,[-0.007319 -0.004911  0.113829]
2->5:,1.113076,0.001,-,-,-,-,[ 0.121588 -0.132851 -0.003227]
3->5:,1.049006,0.047,-,-,-,-,[-0.972699  0.935143  0.010122]
4->5:,0.362838,0.0,-,-,-,-,[ 0.066432 -0.036094  0.001757]
1->6:,1.772561,0.001,-,-,-,-,[-0.009191 -0.007165  0.155106]
2->6:,1.444266,0.002,-,-,-,-,[ 0.182824 -0.172598 -0.003649]
3->6:,1.380196,0.091,-,-,-,-,[-1.17661   1.147102  0.013123]
4->6:,0.694029,0.0,-,-,-,-,[ 0.07497  -0.069646  0.00023 ]
5->6:,0.331191,0.0,-,-,-,-,[ 4.0393e-02 -3.6551e-02 -4.3000e-05]
1->7:,2.791204,0.001,-,-,-,-,[-0.077333 -0.085168 -0.008609]
2->7:,2.46291,0.0,-,-,-,-,[0.00132  0.001081 0.005757]
3->7:,2.39884,0.0,-,-,-,-,[ 0.000456  0.000398 -0.002324]
4->7:,1.712672,0.0,-,-,-,-,[ 1.30e-05 -1.56e-04  1.03e-03]
5->7:,1.349834,0.0,-,-,-,-,[-0.000303  0.000453 -0.001121]
6->7:,1.018644,0.0,-,-,-,-,[-8.600e-05  3.360e-04 -1.473e-03]
1->8:,3.439738,0.0,-,-,-,-,[ 0.008443 -0.007325  0.001123]
2->8:,3.111444,0.014,-,-,-,-,[ 0.312876 -0.292836 -0.002427]
3->8:,3.047374,0.002,-,-,-,-,[ 0.126896 -0.075392 -0.000203]
4->8:,2.361206,0.215,-,-,-,-,[ 1.416692 -1.310082 -0.012353]
5->8:,1.998369,0.036,-,-,-,-,[0.582453 0.632818 0.064717]
6->8:,1.667178,0.086,-,-,-,-,[0.958653 1.085536 0.109078]
7->8:,0.648534,0.0,-,-,-,-,[-0.000254  0.000204 -0.000278]
1->9:,3.692798,0.0,-,-,-,-,[ 0.007379 -0.006877 -0.002222]
2->9:,3.364504,0.139,-,-,-,-,[ 0.962319 -0.87206  -0.007189]
3->9:,3.300434,0.002,-,-,-,-,[ 0.081201 -0.122777 -0.00187 ]
4->9:,2.614266,0.112,-,-,-,-,[-0.970326  0.899747  0.008718]
5->9:,2.251429,0.082,-,-,-,-,[-0.807637 -0.910457 -0.09166 ]
6->9:,1.920238,0.042,-,-,-,-,[-0.632635 -0.698893 -0.070963]
7->9:,0.901594,0.0,-,-,-,-,[ 0.001657  0.001772 -0.031073]
8->9:,0.25306,0.0,-,-,-,-,[-0.001225  0.016009  0.000489]
1->10:,3.894236,0.0,-,-,-,-,[-0.001371 -0.003315 -0.000304]
2->10:,3.565942,0.0,-,-,-,-,[ 0.000989  0.001036 -0.006596]
3->10:,3.501872,0.0,-,-,-,-,[ 0.000478  0.000544 -0.001872]
4->10:,2.815704,0.0,-,-,-,-,[ 0.000393  0.00061  -0.006482]
5->10:,2.452866,0.0,-,-,-,-,[ 0.001405  0.001925 -0.032762]
6->10:,2.121676,0.0,-,-,-,-,[ 0.001923  0.002534 -0.043642]
7->10:,1.103032,0.113,-,-,-,-,[-1.45779  -1.420203 -0.152094]
8->10:,0.454498,0.0,-,-,-,-,[ 2.76e-04 -1.96e-04  9.60e-05]
9->10:,0.201438,0.0,-,-,-,-,[ 0.000128 -0.000337  0.001416]
