Excited state,Excitation energy,Oscillator strength,dipole moment,Total dipole,TPA cross section(sos),TPA cross section(dI),Transition dipole moment
0,0.0,-,[-1.668e-03 -4.040e-04  2.200e-05],0.004362,-,-,-
1,8.797118,0.449,[-1.24e-03 -4.70e-04  6.00e-05],0.003374,0.0,0.0,[ 1.047282 -0.992313 -0.009818]
2,9.047196,0.0,[-0.034707  0.008695 -0.000828],0.090967,0.16,0.0,[ 0.004699 -0.003164 -0.013606]
3,9.199661,0.025,[-0.035153 -0.061405 -0.005493],0.180383,0.0,0.0,[ 0.015951  0.01949  -0.331523]
4,9.835919,0.0,[0.074378 0.071318 0.007574],0.262621,4.84,2.93,[-0.001864  0.000505  0.012448]
5,10.257575,0.0,[-0.001505 -0.009275 -0.000599],0.023932,6.88,3.39,[-6.200e-05  3.900e-05  4.004e-03]
6,10.593227,0.0,[ 1.425e-03 -4.082e-03 -5.200e-05],0.01099,5.72,8.05,[ 8.00e-05  5.37e-04 -7.60e-05]
7,11.513055,0.0,[-0.023427 -0.042683 -0.003649],0.124103,32.46,60.17,[-0.000801  0.031699  0.002232]
8,12.20104,0.0,[ 0.012794 -0.002955  0.000468],0.033396,0.0,0.0,[-8.000e-06  0.000e+00 -1.426e-03]
9,12.453032,0.0,[0.008647 0.00147  0.000497],0.022329,0.0,0.0,[-0.000239 -0.000373  0.005762]
10,12.582297,0.427,[0.035197 0.067731 0.00564 ],0.194541,0.04,0.02,[ 0.800464 -0.862015 -0.013313]
1->2:,0.250078,0.0,-,-,-,-,[ 1.55e-04 -2.40e-05  4.28e-04]
1->3:,0.402543,0.0,-,-,-,-,[ 3.410e-04  1.400e-05 -1.436e-03]
2->3:,0.152465,0.001,-,-,-,-,[-0.262577 -0.294988 -0.029999]
1->4:,1.038801,0.0,-,-,-,-,[0.000624 0.00069  0.001249]
2->4:,0.788723,0.0,-,-,-,-,[-0.033846 -0.051089 -0.004749]
3->4:,0.636258,0.063,-,-,-,-,[-1.379064 -1.454846 -0.151807]
1->5:,1.460457,0.001,-,-,-,-,[ 0.006213  0.009108 -0.143703]
2->5:,1.210379,0.0,-,-,-,-,[ 0.037218 -0.033839 -0.000744]
3->5:,1.057914,0.072,-,-,-,-,[ 1.189488 -1.163296 -0.012933]
4->5:,0.421656,0.0,-,-,-,-,[-0.022479  0.028335  0.000388]
1->6:,1.796109,0.001,-,-,-,-,[ 0.005829  0.008491 -0.134437]
2->6:,1.546031,0.0,-,-,-,-,[ 0.041314 -0.040613 -0.001031]
3->6:,1.393566,0.068,-,-,-,-,[ 1.035406 -0.958667 -0.008033]
4->6:,0.757308,0.0,-,-,-,-,[-0.022097  0.028153  0.000456]
5->6:,0.335651,0.0,-,-,-,-,[-0.006627 -0.007426 -0.000936]
1->7:,2.715938,0.001,-,-,-,-,[0.07895  0.078856 0.008419]
2->7:,2.465859,0.0,-,-,-,-,[0.000236 0.000384 0.002694]
3->7:,2.313395,0.0,-,-,-,-,[ 0.00023   0.000294 -0.00477 ]
4->7:,1.677136,0.0,-,-,-,-,[ 1.01e-04  2.00e-05 -8.32e-04]
5->7:,1.25548,0.0,-,-,-,-,[-8.10e-05  1.44e-04 -8.94e-04]
6->7:,0.919829,0.0,-,-,-,-,[-2.20e-05  5.30e-05 -7.77e-04]
1->8:,3.403922,0.0,-,-,-,-,[-0.002334  0.003023 -0.003555]
2->8:,3.153844,0.026,-,-,-,-,[ 0.411487 -0.413499 -0.005181]
3->8:,3.001379,0.0,-,-,-,-,[-0.046281  0.034986  0.000266]
4->8:,2.365121,0.187,-,-,-,-,[-1.307232  1.235058  0.011495]
5->8:,1.943465,0.045,-,-,-,-,[0.656289 0.716843 0.0737  ]
6->8:,1.607813,0.057,-,-,-,-,[0.872287 0.816776 0.089867]
7->8:,0.687984,0.0,-,-,-,-,[ 0.000236  0.000128 -0.003694]
1->9:,3.655914,0.0,-,-,-,-,[-0.002642  0.002223  0.001846]
2->9:,3.405836,0.13,-,-,-,-,[ 0.884002 -0.878064 -0.010445]
3->9:,3.253371,0.0,-,-,-,-,[-0.001221  0.016305  0.000467]
4->9:,2.617113,0.147,-,-,-,-,[ 1.111943 -1.027952 -0.00839 ]
5->9:,2.195457,0.115,-,-,-,-,[-1.033015 -1.025726 -0.109899]
6->9:,1.859805,0.031,-,-,-,-,[-0.573497 -0.586213 -0.062013]
7->9:,0.939976,0.0,-,-,-,-,[ 0.001451  0.001992 -0.031187]
8->9:,0.251992,0.0,-,-,-,-,[ 0.005948 -0.016705 -0.000445]
1->10:,3.78518,0.0,-,-,-,-,[3.30e-05 2.47e-04 8.00e-06]
2->10:,3.535101,0.0,-,-,-,-,[ 0.000278  0.000382 -0.002718]
3->10:,3.382637,0.0,-,-,-,-,[3.30e-05 2.20e-05 9.72e-04]
4->10:,2.746379,0.0,-,-,-,-,[-0.000366 -0.00032   0.005518]
5->10:,2.324722,0.0,-,-,-,-,[-0.001827 -0.002267  0.039246]
6->10:,1.989071,0.0,-,-,-,-,[-0.001683 -0.002111  0.036283]
7->10:,1.069242,0.108,-,-,-,-,[1.36336  1.498239 0.153652]
8->10:,0.381258,0.0,-,-,-,-,[-7.90e-05  4.10e-05  3.23e-04]
9->10:,0.129266,0.0,-,-,-,-,[-3.70e-05  9.00e-05 -8.26e-04]
