Excited state,Excitation energy,Oscillator strength,dipole moment,Total dipole,TPA cross section(sos),TPA cross section(dI),Transition dipole moment
0,0.0,-,[0.002494 0.001092 0.006897],0.018846,-,-,-
1,8.730755,0.446,[0.000522 0.001499 0.008309],0.021502,0.0,0.0,[-1.03821   1.003564  0.006868]
2,8.924999,0.0,[ 0.170256 -0.10901   0.017087],0.515682,0.16,0.01,[-0.009329 -0.001692  0.034374]
3,9.13303,0.023,[0.024913 0.369572 0.016939],0.942473,0.02,0.01,[-0.015926 -0.021289  0.316986]
4,9.737004,0.0,[-0.331716 -0.183913 -0.039223],0.969195,4.4,2.63,[-0.00368  -0.002304  0.040921]
5,10.155885,0.0,[ 0.098383 -0.062701  0.001269],0.296549,7.4,3.82,[ 0.00125  -0.005064  0.036096]
6,10.518699,0.0,[ 0.016395 -0.041119  0.006762],0.113821,4.28,6.77,[-0.013184  0.014641 -0.015383]
7,11.398837,0.011,[0.005073 0.243484 0.015857],0.620319,39.04,62.7,[0.078647 0.180971 0.016521]
8,12.075908,0.0,[-0.057364  0.043143  0.004949],0.182873,0.07,0.04,[ 0.000279 -0.000929 -0.000839]
9,12.342743,0.0,[ 0.010063 -0.051677 -0.006376],0.134795,0.11,0.1,[-0.000891 -0.001255  0.015329]
10,12.453326,0.45,[-0.098833 -0.184994 -0.019635],0.535436,3.4,0.88,[ 1.026398 -0.648182  0.012362]
1->2:,0.194244,0.0,-,-,-,-,[ 0.000614 -0.00075   0.001991]
1->3:,0.402275,0.0,-,-,-,-,[ 0.011131 -0.011853  0.006145]
2->3:,0.208031,0.001,-,-,-,-,[0.26735  0.306276 0.031955]
1->4:,1.006248,0.0,-,-,-,-,[-0.001528 -0.0031    0.00377 ]
2->4:,0.812004,0.0,-,-,-,-,[-0.040547 -0.144161 -0.006091]
3->4:,0.603974,0.056,-,-,-,-,[-1.423966 -1.320175 -0.163456]
1->5:,1.425129,0.001,-,-,-,-,[ 0.010221  0.007507 -0.143632]
2->5:,1.230886,0.0,-,-,-,-,[ 0.100815 -0.058981  0.00086 ]
3->5:,1.022855,0.079,-,-,-,-,[ 1.252661 -1.263308 -0.016043]
4->5:,0.418881,0.0,-,-,-,-,[ 0.049304 -0.148684 -0.007241]
1->6:,1.787944,0.001,-,-,-,-,[-0.007062 -0.00641   0.112313]
2->6:,1.5937,0.001,-,-,-,-,[-0.098483  0.133787  0.003818]
3->6:,1.385669,0.052,-,-,-,-,[-0.864088  0.890609  0.012205]
4->6:,0.781696,0.0,-,-,-,-,[-0.059048  0.120063  0.004948]
5->6:,0.362814,0.0,-,-,-,-,[-0.06074   0.013007  0.006877]
1->7:,2.668081,0.001,-,-,-,-,[0.069861 0.080972 0.008886]
2->7:,2.473837,0.0,-,-,-,-,[ 0.004344 -0.00523   0.016252]
3->7:,2.265806,0.0,-,-,-,-,[-0.001042 -0.000161  0.005228]
4->7:,1.661833,0.0,-,-,-,-,[ 0.002487 -0.002913  0.006214]
5->7:,1.242952,0.0,-,-,-,-,[-0.000758 -0.000859  0.002606]
6->7:,0.880137,0.0,-,-,-,-,[ 0.001475  0.001913 -0.003013]
1->8:,3.345153,0.0,-,-,-,-,[0.010778 0.006706 0.011804]
2->8:,3.150909,0.04,-,-,-,-,[-0.53701   0.47631   0.002268]
3->8:,2.942878,0.003,-,-,-,-,[ 0.150249 -0.118353  0.000358]
4->8:,2.338904,0.145,-,-,-,-,[-1.168433  1.078918  0.009267]
5->8:,1.920023,0.037,-,-,-,-,[0.579315 0.662592 0.074519]
6->8:,1.557209,0.039,-,-,-,-,[-0.62586  -0.791502 -0.085427]
7->8:,0.677071,0.0,-,-,-,-,[-0.001604  0.001067 -0.00769 ]
1->9:,3.611987,0.0,-,-,-,-,[-0.004644 -0.010441 -0.010121]
2->9:,3.417743,0.115,-,-,-,-,[-0.874793  0.776166  0.003911]
3->9:,3.209713,0.0,-,-,-,-,[-0.038287  0.006336 -0.001597]
4->9:,2.605739,0.184,-,-,-,-,[ 1.244966 -1.156797 -0.010773]
5->9:,2.186858,0.144,-,-,-,-,[-1.047695 -1.255378 -0.138467]
6->9:,1.824043,0.029,-,-,-,-,[0.518809 0.607866 0.067777]
7->9:,0.943906,0.0,-,-,-,-,[ 0.00254   0.001153 -0.029789]
8->9:,0.266835,0.0,-,-,-,-,[-0.088647  0.120079  0.016925]
1->10:,3.722571,0.0,-,-,-,-,[-0.005129  0.001709  0.000701]
2->10:,3.528327,0.0,-,-,-,-,[-0.002026 -0.002674  0.022381]
3->10:,3.320296,0.0,-,-,-,-,[-0.000311 -0.000383  0.003594]
4->10:,2.716322,0.0,-,-,-,-,[ 3.8000e-05 -2.5100e-03  1.7464e-02]
5->10:,2.297441,0.0,-,-,-,-,[ 0.00145   0.002023 -0.040195]
6->10:,1.934627,0.0,-,-,-,-,[-0.001279 -0.001225  0.029494]
7->10:,1.05449,0.103,-,-,-,-,[-1.56329  -1.228849 -0.164349]
8->10:,0.377418,0.0,-,-,-,-,[1.90e-05 4.74e-04 5.03e-04]
9->10:,0.110584,0.0,-,-,-,-,[ 0.001266  0.000475 -0.002516]
