Excited state,Excitation energy,Oscillator strength,dipole moment,Total dipole,TPA cross section(sos),TPA cross section(dI),Transition dipole moment
0,0.0,-,[ 0.000176 -0.000221  0.000606],0.0017,-,-,-
1,8.736359,0.446,[-2.90e-05 -4.06e-04  7.32e-04],0.002129,0.0,0.0,[ 1.044542 -0.995182 -0.009409]
2,9.048755,0.0,[0.007768 0.010083 0.002368],0.032907,0.16,0.0,[-0.000268  0.001745 -0.008553]
3,9.179549,0.025,[0.036321 0.026438 0.002469],0.114358,0.0,0.0,[-0.015708 -0.020151  0.33523 ]
4,9.837014,0.0,[-0.042081 -0.046757 -0.005679],0.16054,5.01,3.07,[-1.000e-05 -6.970e-04  5.936e-03]
5,10.218988,0.0,[-0.007452 -0.000178 -0.000105],0.018948,6.35,2.96,[ 8.00e-06 -5.70e-05 -5.71e-04]
6,10.54266,0.0,[-8.408e-03 -3.557e-03 -9.700e-05],0.023206,6.55,8.78,[ 0.001279 -0.001266 -0.00101 ]
7,11.560789,0.0,[0.02889  0.023226 0.0027  ],0.094468,31.99,59.51,[ 0.008832 -0.003782  0.000302]
8,12.160845,0.0,[0.006075 0.007644 0.000973],0.024939,0.0,0.0,[-7.70e-05 -8.90e-05  4.97e-04]
9,12.413588,0.0,[0.003647 0.006063 0.000469],0.018022,0.0,0.0,[-6.20e-05 -5.30e-05  7.98e-04]
10,12.646897,0.424,[-0.032217 -0.03431  -0.003814],0.120019,0.01,0.01,[ 0.843927 -0.81071  -0.008234]
1->2:,0.312396,0.0,-,-,-,-,[7.0e-05 2.4e-05 2.4e-04]
1->3:,0.44319,0.0,-,-,-,-,[-1.021e-03  9.390e-04 -6.300e-05]
2->3:,0.130795,0.0,-,-,-,-,[-0.269383 -0.285365 -0.029728]
1->4:,1.100655,0.0,-,-,-,-,[ 0.000504  0.000585 -0.002588]
2->4:,0.78826,0.0,-,-,-,-,[0.030138 0.029163 0.002652]
3->4:,0.657465,0.065,-,-,-,-,[-1.410313 -1.432118 -0.152279]
1->5:,1.482629,0.001,-,-,-,-,[-0.006822 -0.007846  0.137069]
2->5:,1.170233,0.0,-,-,-,-,[-0.020589  0.022558  0.000244]
3->5:,1.039438,0.063,-,-,-,-,[ 1.111753 -1.120796 -0.013907]
4->5:,0.381974,0.0,-,-,-,-,[ 0.024899 -0.02238  -0.00023 ]
1->6:,1.8063,0.001,-,-,-,-,[-0.006937 -0.008029  0.139765]
2->6:,1.493905,0.0,-,-,-,-,[-2.8341e-02  2.6272e-02  8.2000e-05]
3->6:,1.36311,0.076,-,-,-,-,[ 1.090353 -1.045058 -0.010424]
4->6:,0.705645,0.0,-,-,-,-,[ 0.026583 -0.024307 -0.00022 ]
5->6:,0.323672,0.0,-,-,-,-,[-0.003438  0.000583 -0.001057]
1->7:,2.82443,0.001,-,-,-,-,[0.079347 0.081786 0.008637]
2->7:,2.512034,0.0,-,-,-,-,[ 3.19e-04 -5.11e-04 -6.70e-05]
3->7:,2.38124,0.0,-,-,-,-,[-6.200e-05 -1.070e-04  1.758e-03]
4->7:,1.723775,0.0,-,-,-,-,[-2.85e-04  2.53e-04  8.60e-05]
5->7:,1.341801,0.0,-,-,-,-,[ 9.60e-05  6.60e-05 -4.74e-04]
6->7:,1.01813,0.0,-,-,-,-,[ 0.000206  0.000195 -0.000441]
1->8:,3.424486,0.0,-,-,-,-,[-2.190e-04 -1.506e-03 -4.400e-05]
2->8:,3.11209,0.029,-,-,-,-,[ 0.437544 -0.429617 -0.004762]
3->8:,2.981295,0.0,-,-,-,-,[ 0.031797 -0.028933 -0.000124]
4->8:,2.32383,0.178,-,-,-,-,[-1.293997  1.207126  0.010467]
5->8:,1.941857,0.036,-,-,-,-,[0.572249 0.655168 0.066194]
6->8:,1.618185,0.06,-,-,-,-,[0.868095 0.867574 0.092896]
7->8:,0.600056,0.0,-,-,-,-,[-0.000163 -0.000285  0.004149]
1->9:,3.677229,0.0,-,-,-,-,[-1.12e-03 -3.00e-05 -7.51e-04]
2->9:,3.364833,0.126,-,-,-,-,[-0.884973  0.859771  0.009132]
3->9:,3.234039,0.0,-,-,-,-,[-0.003088  0.005951  0.000318]
4->9:,2.576574,0.154,-,-,-,-,[-1.151825  1.051373  0.007964]
5->9:,2.1946,0.109,-,-,-,-,[0.981602 1.028436 0.107868]
6->9:,1.870929,0.04,-,-,-,-,[0.643959 0.677715 0.070945]
7->9:,0.852799,0.0,-,-,-,-,[ 0.001497  0.001799 -0.031087]
8->9:,0.252743,0.0,-,-,-,-,[ 0.002034  0.00656  -0.000831]
1->10:,3.910538,0.0,-,-,-,-,[ 7.220e-04  1.029e-03 -2.000e-06]
2->10:,3.598143,0.0,-,-,-,-,[ 0.000239  0.000307 -0.003027]
3->10:,3.467348,0.0,-,-,-,-,[ 2.00e-06 -1.10e-05 -2.44e-04]
4->10:,2.809883,0.0,-,-,-,-,[-3.3e-05 -1.6e-05 -3.6e-05]
5->10:,2.427909,0.0,-,-,-,-,[ 0.001772  0.002243 -0.037361]
6->10:,2.104238,0.0,-,-,-,-,[ 0.001877  0.00236  -0.039376]
7->10:,1.086108,0.11,-,-,-,-,[1.42083  1.447131 0.153659]
8->10:,0.486053,0.0,-,-,-,-,[ 2.10e-05 -5.00e-06 -1.69e-04]
9->10:,0.233309,0.0,-,-,-,-,[-0.000132 -0.000108  0.000491]
