Excited state,Excitation energy,Oscillator strength,dipole moment,Total dipole,TPA cross section(sos),TPA cross section(dI),Transition dipole moment
0,0.0,-,[0.000286 0.001266 0.000864],0.003963,-,-,-
1,8.677323,0.443,[2.600e-05 9.750e-04 1.039e-03],0.003621,0.0,0.0,[ 1.043736 -0.99607  -0.00867 ]
2,9.057062,0.0,[0.045974 0.029042 0.005647],0.13896,0.17,0.0,[ 0.001006 -0.004777  0.029534]
3,9.141468,0.025,[0.015087 0.059231 0.003222],0.155573,0.0,0.0,[ 0.014869  0.020715 -0.33409 ]
4,9.831,0.0,[-0.098081 -0.078189 -0.010412],0.319917,5.12,3.2,[-0.000398  0.001974 -0.014482]
5,10.163496,0.0,[ 0.01431  -0.012794  0.000492],0.048806,5.0,1.99,[-0.000457 -0.000136  0.002954]
6,10.484813,0.0,[ 0.010993 -0.011012  0.000238],0.039555,7.98,9.91,[-0.001163  0.002154 -0.004015]
7,11.596751,0.0,[0.031798 0.059575 0.004985],0.172112,33.25,58.51,[ 0.006312 -0.029437 -0.001102]
8,12.129662,0.0,[ 8.350e-04 -2.221e-03  9.700e-05],0.006036,0.0,0.0,[-0.000238 -0.000309 -0.001101]
9,12.381025,0.0,[ 0.000867 -0.005396 -0.000284],0.013909,0.0,0.0,[-0.000206 -0.000291  0.006825]
10,12.705047,0.422,[-0.068771 -0.061772 -0.007196],0.235671,0.05,0.03,[ 9.17743e-01 -7.16307e-01  4.44000e-04]
1->2:,0.379739,0.0,-,-,-,-,[-0.00037  -0.000102 -0.000857]
1->3:,0.464145,0.0,-,-,-,-,[ 0.001139 -0.001181 -0.000136]
2->3:,0.084406,0.0,-,-,-,-,[-0.285192 -0.286828 -0.030316]
1->4:,1.153677,0.0,-,-,-,-,[-0.002198 -0.002272  0.003307]
2->4:,0.773938,0.0,-,-,-,-,[0.103911 0.110461 0.010835]
3->4:,0.689532,0.069,-,-,-,-,[-1.436237 -1.405714 -0.151643]
1->5:,1.486173,0.001,-,-,-,-,[-0.007103 -0.005788  0.120543]
2->5:,1.106434,0.0,-,-,-,-,[ 0.072116 -0.066901 -0.000335]
3->5:,1.022028,0.048,-,-,-,-,[-0.974451  0.990667  0.012882]
4->5:,0.332496,0.0,-,-,-,-,[-0.021952  0.03427   0.001237]
1->6:,1.80749,0.001,-,-,-,-,[ 0.008805  0.007353 -0.151265]
2->6:,1.42775,0.001,-,-,-,-,[-0.10122   0.103548  0.000946]
3->6:,1.343345,0.091,-,-,-,-,[ 1.176001 -1.174185 -0.014325]
4->6:,0.653812,0.0,-,-,-,-,[ 0.036741 -0.044228 -0.001139]
5->6:,0.321316,0.0,-,-,-,-,[-0.016518  0.002891  0.000594]
1->7:,2.919428,0.001,-,-,-,-,[0.078747 0.08601  0.008841]
2->7:,2.539689,0.0,-,-,-,-,[-0.000153  0.000876 -0.000791]
3->7:,2.455283,0.0,-,-,-,-,[-0.000216 -0.000181  0.00297 ]
4->7:,1.765751,0.0,-,-,-,-,[ 0.000368 -0.000349  0.000419]
5->7:,1.433255,0.0,-,-,-,-,[ 1.75e-04  1.30e-05 -9.11e-04]
6->7:,1.111938,0.0,-,-,-,-,[-0.000337 -0.000289  0.001195]
1->8:,3.452339,0.0,-,-,-,-,[ 0.001094 -0.002781 -0.003679]
2->8:,3.072599,0.024,-,-,-,-,[-0.415472  0.388169  0.003295]
3->8:,2.988194,0.001,-,-,-,-,[-0.067439  0.06625   0.000366]
4->8:,2.298661,0.185,-,-,-,-,[ 1.336299 -1.225037 -0.010147]
5->8:,1.966165,0.028,-,-,-,-,[0.502145 0.577279 0.058125]
6->8:,1.644849,0.073,-,-,-,-,[-0.894848 -1.006295 -0.102228]
7->8:,0.532911,0.0,-,-,-,-,[ 8.700e-05 -3.220e-04  3.009e-03]
1->9:,3.703702,0.0,-,-,-,-,[ 0.002059 -0.000777  0.002298]
2->9:,3.323963,0.128,-,-,-,-,[-0.919469  0.851351  0.0071  ]
3->9:,3.239557,0.0,-,-,-,-,[-0.048876  0.040151  0.00051 ]
4->9:,2.550025,0.142,-,-,-,-,[-1.117346  1.012442  0.007912]
5->9:,2.217529,0.091,-,-,-,-,[-0.852703 -0.969847 -0.098066]
6->9:,1.896213,0.052,-,-,-,-,[0.705265 0.785282 0.080112]
7->9:,0.784274,0.0,-,-,-,-,[-0.001613 -0.001701  0.030994]
8->9:,0.251364,0.0,-,-,-,-,[-0.007903  0.013303  0.002109]
1->10:,4.027724,0.0,-,-,-,-,[ 1.053e-03 -8.000e-06 -1.020e-04]
2->10:,3.647985,0.0,-,-,-,-,[-0.001206 -0.001329  0.012519]
3->10:,3.563579,0.0,-,-,-,-,[-6.00e-06  2.00e-05  5.03e-04]
4->10:,2.874047,0.0,-,-,-,-,[ 0.000475  0.000751 -0.008896]
5->10:,2.541551,0.0,-,-,-,-,[ 0.001487  0.002    -0.033349]
6->10:,2.220235,0.0,-,-,-,-,[-0.001998 -0.002584  0.043998]
7->10:,1.108296,0.113,-,-,-,-,[1.504751 1.366155 0.15246 ]
8->10:,0.575386,0.0,-,-,-,-,[ 1.30e-05 -6.30e-05  2.47e-04]
9->10:,0.324022,0.0,-,-,-,-,[ 0.000245  0.000103 -0.001032]
