Excited state,Excitation energy,Oscillator strength,dipole moment,Total dipole,TPA cross section(sos),TPA cross section(dI),Transition dipole moment
0,0.0,-,[-0.000655  0.00138   0.000581],0.004154,-,-,-
1,8.737371,0.446,[-0.0006    0.00113   0.000689],0.003694,0.0,0.0,[ 1.045194 -0.994904 -0.009347]
2,9.047,0.0,[0.007235 0.011564 0.002243],0.035136,0.16,0.0,[-0.003876  0.005118 -0.008672]
3,9.166793,0.025,[0.001673 0.039933 0.001734],0.101685,0.0,0.0,[ 0.015504  0.01995  -0.332564]
4,9.825397,0.0,[-0.043951 -0.028967 -0.004576],0.134297,4.94,3.03,[-0.001364  0.002024 -0.006083]
5,10.207897,0.0,[ 0.020113 -0.016168  0.000239],0.065595,6.03,2.73,[ 0.00028   0.00037  -0.001643]
6,10.533164,0.0,[ 0.011322 -0.01027   0.00035 ],0.038864,6.65,8.84,[ 0.000524 -0.001737  0.003833]
7,11.545547,0.0,[0.006115 0.029007 0.001973],0.075516,32.1,59.55,[ 0.001336 -0.013898 -0.000239]
8,12.159373,0.0,[ 4.559e-03 -6.823e-03 -1.800e-05],0.020857,0.0,0.0,[ 0.000108  0.000112 -0.000554]
9,12.411911,0.0,[ 0.003916 -0.007325 -0.000274],0.021123,0.0,0.0,[-0.000149 -0.000157  0.002513]
10,12.631462,0.424,[-0.033128 -0.020188 -0.002983],0.098897,0.01,0.01,[-0.822545  0.832281  0.010628]
1->2:,0.309629,0.0,-,-,-,-,[ 9.60e-05  6.80e-05 -1.95e-04]
1->3:,0.429422,0.0,-,-,-,-,[ 0.000814 -0.000863 -0.000794]
2->3:,0.119792,0.0,-,-,-,-,[0.271319 0.292326 0.030151]
1->4:,1.088026,0.0,-,-,-,-,[-0.00058  -0.000627  0.000196]
2->4:,0.778396,0.0,-,-,-,-,[-0.027604 -0.031364 -0.002711]
3->4:,0.658604,0.066,-,-,-,-,[-1.383768 -1.457636 -0.152044]
1->5:,1.470526,0.001,-,-,-,-,[ 0.006753  0.007478 -0.133011]
2->5:,1.160897,0.0,-,-,-,-,[ 0.024623 -0.018373  0.000552]
3->5:,1.041104,0.061,-,-,-,-,[ 1.118138 -1.076239 -0.011057]
4->5:,0.3825,0.0,-,-,-,-,[ 0.007824 -0.017243 -0.000967]
1->6:,1.795792,0.001,-,-,-,-,[-0.007147 -0.007951  0.141358]
2->6:,1.486163,0.0,-,-,-,-,[-0.027718  0.028995 -0.000257]
3->6:,1.366371,0.078,-,-,-,-,[-1.11294   1.048376  0.009656]
4->6:,0.707767,0.0,-,-,-,-,[-0.013982  0.015466  0.000526]
5->6:,0.325267,0.0,-,-,-,-,[-0.014466  0.007468  0.000563]
1->7:,2.808176,0.001,-,-,-,-,[0.079269 0.081349 0.008578]
2->7:,2.498547,0.0,-,-,-,-,[-0.000125 -0.000855 -0.000874]
3->7:,2.378755,0.0,-,-,-,-,[ 7.000e-05  1.140e-04 -1.837e-03]
4->7:,1.720151,0.0,-,-,-,-,[ 2.50e-04 -2.07e-04 -3.60e-05]
5->7:,1.337651,0.0,-,-,-,-,[-2.02e-04  6.30e-05  3.85e-04]
6->7:,1.012384,0.0,-,-,-,-,[ 0.000225  0.000124 -0.000436]
1->8:,3.422002,0.0,-,-,-,-,[-0.002543  0.003784  0.001718]
2->8:,3.112372,0.027,-,-,-,-,[-0.424217  0.412588  0.004404]
3->8:,2.99258,0.0,-,-,-,-,[ 0.019297 -0.027172 -0.000192]
4->8:,2.333976,0.183,-,-,-,-,[-1.29577   1.234638  0.012176]
5->8:,1.951476,0.036,-,-,-,-,[0.593833 0.634701 0.065796]
6->8:,1.626209,0.063,-,-,-,-,[-0.885065 -0.888029 -0.094616]
7->8:,0.613825,0.0,-,-,-,-,[ 0.000119  0.000283 -0.003715]
1->9:,3.67454,0.0,-,-,-,-,[-0.002976  0.001988 -0.000986]
2->9:,3.364911,0.128,-,-,-,-,[-0.894366  0.868118  0.009243]
3->9:,3.245118,0.0,-,-,-,-,[ 1.5617e-02 -2.6210e-03 -3.4000e-05]
4->9:,2.586514,0.148,-,-,-,-,[ 1.111176 -1.050238 -0.009974]
5->9:,2.204014,0.106,-,-,-,-,[-0.977675 -1.000818 -0.1057  ]
6->9:,1.878748,0.041,-,-,-,-,[0.652882 0.674151 0.070931]
7->9:,0.866364,0.0,-,-,-,-,[ 0.001518  0.001776 -0.031113]
8->9:,0.252539,0.0,-,-,-,-,[-0.004112  0.007983  0.001422]
1->10:,3.894091,0.0,-,-,-,-,[-5.55e-04  2.99e-04  6.50e-05]
2->10:,3.584462,0.0,-,-,-,-,[-5.000e-05 -5.800e-05 -2.017e-03]
3->10:,3.464669,0.0,-,-,-,-,[-0.000121 -0.000141  0.000501]
4->10:,2.806065,0.0,-,-,-,-,[ 7.000e-05  1.300e-04 -2.621e-03]
5->10:,2.423565,0.0,-,-,-,-,[ 0.001733  0.002209 -0.036776]
6->10:,2.098298,0.0,-,-,-,-,[-0.001884 -0.002379  0.039735]
7->10:,1.085914,0.11,-,-,-,-,[-1.380224 -1.487007 -0.153613]
8->10:,0.472089,0.0,-,-,-,-,[ 7.80e-05 -9.50e-05  1.28e-04]
9->10:,0.219551,0.0,-,-,-,-,[ 1.73e-04  3.60e-05 -4.20e-04]
