Excited state,Excitation energy,Oscillator strength,dipole moment,Total dipole,TPA cross section(sos),TPA cross section(dI),Transition dipole moment
0,0.0,-,[-0.014735  0.014024  0.000163],0.051704,-,-,-
1,8.733527,0.447,[-0.014229  0.013536  0.000164],0.049918,0.02,0.02,[ 1.047502 -0.994863 -0.00971 ]
2,8.931636,0.0,[ 0.17566  -0.166374 -0.001557],0.614972,0.15,0.01,[ 0.000489 -0.000436 -0.000234]
3,9.098518,0.022,[-0.541169  0.51594   0.005157],1.900515,0.01,0.0,[ 0.014809  0.018902 -0.310755]
4,9.720614,0.0,[-0.221529  0.207435  0.001862],0.771401,4.33,2.58,[ 0.00015  -0.000108 -0.000253]
5,10.171507,0.002,[ 0.426489 -0.404698 -0.003981],1.494427,7.3,3.68,[ 0.003843  0.004838 -0.080421]
6,10.517801,0.002,[ 0.16562  -0.157304 -0.001525],0.580591,4.74,7.21,[-0.003603 -0.004634  0.076515]
7,11.370901,0.044,[-0.331     0.315592  0.003178],1.162469,36.77,61.54,[0.272605 0.287338 0.030488]
8,12.091724,0.0,[ 5.706e-03 -5.523e-03 -5.300e-05],0.020186,0.16,0.13,[-3.2e-05 -1.6e-05  0.0e+00]
9,12.35269,0.0,[ 0.131896 -0.125489 -0.001274],0.462749,0.26,0.19,[ 8.0e-06 -1.4e-05  1.7e-05]
10,12.45237,0.434,[-0.032416  0.028768  0.000175],0.110162,13.75,4.22,[ 0.864275 -0.821101 -0.008129]
1->2:,0.198109,0.0,-,-,-,-,[-6.00e-05  1.17e-04 -7.00e-06]
1->3:,0.36499,0.0,-,-,-,-,[ 4.800e-05  1.620e-04 -2.299e-03]
2->3:,0.166881,0.001,-,-,-,-,[0.26929  0.284295 0.030108]
1->4:,0.987087,0.0,-,-,-,-,[-2.17e-04 -1.84e-04 -4.70e-05]
2->4:,0.788978,0.0,-,-,-,-,[ 0.098978 -0.095403 -0.00099 ]
3->4:,0.622097,0.059,-,-,-,-,[-1.349493 -1.419688 -0.150587]
1->5:,1.437979,0.001,-,-,-,-,[ 0.007054  0.008491 -0.143714]
2->5:,1.239871,0.0,-,-,-,-,[0.06806  0.070387 0.007462]
3->5:,1.072989,0.071,-,-,-,-,[ 1.188571 -1.128191 -0.011087]
4->5:,0.450892,0.0,-,-,-,-,[-0.135414 -0.143791 -0.015169]
1->6:,1.784273,0.001,-,-,-,-,[-0.005844 -0.007056  0.118476]
2->6:,1.586164,0.0,-,-,-,-,[0.048071 0.052016 0.00551 ]
3->6:,1.419283,0.055,-,-,-,-,[-0.913055  0.866843  0.008525]
4->6:,0.797186,0.0,-,-,-,-,[0.051373 0.055159 0.005785]
5->6:,0.346294,0.001,-,-,-,-,[-0.205706  0.195052  0.00195 ]
1->7:,2.637373,0.001,-,-,-,-,[-0.072083 -0.075802 -0.008036]
2->7:,2.439264,0.0,-,-,-,-,[ 0.000464  0.000591 -0.010636]
3->7:,2.272383,0.0,-,-,-,-,[ 1.5e-05 -1.0e-06  2.4e-05]
4->7:,1.650286,0.0,-,-,-,-,[ 0.000385  0.000466 -0.007825]
5->7:,1.199394,0.0,-,-,-,-,[-2.0e-05  1.0e-06 -1.2e-05]
6->7:,0.8531,0.0,-,-,-,-,[ 3.0e-06 -3.0e-06  1.3e-05]
1->8:,3.358196,0.0,-,-,-,-,[-3.42e-04  2.95e-04 -5.60e-05]
2->8:,3.160087,0.036,-,-,-,-,[ 0.49435  -0.469387 -0.004607]
3->8:,2.993206,0.0,-,-,-,-,[0.043255 0.047153 0.004957]
4->8:,2.371109,0.155,-,-,-,-,[ 1.183632 -1.124406 -0.011127]
5->8:,1.920217,0.038,-,-,-,-,[-0.618326 -0.649949 -0.068951]
6->8:,1.573923,0.043,-,-,-,-,[0.725039 0.762564 0.080884]
7->8:,0.720823,0.0,-,-,-,-,[ 0.000323  0.000446 -0.007021]
1->9:,3.619163,0.0,-,-,-,-,[ 2.71e-04 -2.64e-04 -4.60e-05]
2->9:,3.421054,0.118,-,-,-,-,[-0.859889  0.816772  0.008051]
3->9:,3.254172,0.001,-,-,-,-,[0.079014 0.083032 0.008856]
4->9:,2.632076,0.172,-,-,-,-,[ 1.183532 -1.12445  -0.011147]
5->9:,2.181183,0.135,-,-,-,-,[-1.091528 -1.147718 -0.121745]
6->9:,1.834889,0.03,-,-,-,-,[0.563579 0.592638 0.062862]
7->9:,0.981789,0.0,-,-,-,-,[-0.001444 -0.001761  0.029272]
8->9:,0.260966,0.001,-,-,-,-,[ 0.239207 -0.227394 -0.002314]
1->10:,3.718843,0.0,-,-,-,-,[ 0.011409 -0.010846 -0.000111]
2->10:,3.520734,0.0,-,-,-,-,[5.6e-05 3.9e-05 3.6e-05]
3->10:,3.353852,0.0,-,-,-,-,[ 0.000706  0.000898 -0.014978]
4->10:,2.731756,0.0,-,-,-,-,[7.0e-06 1.6e-05 1.9e-05]
5->10:,2.280863,0.0,-,-,-,-,[-0.001695 -0.002143  0.035564]
6->10:,1.934569,0.0,-,-,-,-,[ 0.001416  0.001785 -0.02958 ]
7->10:,1.081469,0.105,-,-,-,-,[-1.369368 -1.441007 -0.152828]
8->10:,0.360646,0.0,-,-,-,-,[5.0e-06 2.2e-05 6.0e-06]
9->10:,0.09968,0.0,-,-,-,-,[1.1e-05 3.0e-06 1.8e-05]
