Excited state,Excitation energy,Oscillator strength,dipole moment,Total dipole,TPA cross section(sos),TPA cross section(dI),Transition dipole moment
0,0.0,-,[-3.0e-06  0.0e+00  2.4e-05],6.1e-05,-,-,-
1,8.731322,0.445,[-3.e-06 -0.e+00  3.e-05],7.6e-05,0.0,0.0,[ 1.046156 -0.993576 -0.009699]
2,8.952817,0.001,[-1.3e-05  3.8e-05  5.5e-05],0.000174,0.15,0.01,[ 0.044713 -0.04244  -0.000426]
3,9.141607,0.024,[ 5.5e-05  8.5e-05 -2.4e-05],0.000264,0.0,0.0,[ 0.015401  0.019672 -0.323504]
4,9.738268,0.0,[-9.3e-05 -8.5e-05 -4.1e-05],0.000338,4.49,2.67,[ 0.013656 -0.012966 -0.000137]
5,10.158411,0.0,[ 2.0e-05 -4.5e-05 -3.0e-06],0.000125,7.45,3.85,[-0.002215 -0.002302 -0.000245]
6,10.520803,0.0,[-3.0e-06 -2.8e-05  2.8e-05],0.000101,4.32,6.82,[0.002949 0.002999 0.000328]
7,11.4339,0.0,[4.8e-05 6.0e-05 4.0e-06],0.000196,32.99,62.96,[ 0.000202  0.00023  -0.00383 ]
8,12.068231,0.0,[ 3.2e-05 -1.0e-06  2.5e-05],0.000103,0.0,0.0,[2.1e-05 2.2e-05 5.0e-06]
9,12.346769,0.0,[ 2.8e-05  1.3e-05 -1.4e-05],8.5e-05,0.01,0.0,[2.0e-06 2.0e-06 3.4e-05]
10,12.476843,0.441,[-8.8e-05 -4.3e-05 -1.1e-05],0.000252,0.0,0.0,[-0.870651  0.827856  0.008235]
1->2:,0.221494,0.0,-,-,-,-,[ 3.5e-05  3.5e-05 -4.0e-06]
1->3:,0.410285,0.0,-,-,-,-,[-0.001052 -0.001194 -0.000125]
2->3:,0.18879,0.001,-,-,-,-,[0.274464 0.288765 0.030626]
1->4:,1.006945,0.0,-,-,-,-,[-2.06e-04 -2.17e-04 -6.10e-05]
2->4:,0.785451,0.0,-,-,-,-,[-5.9e-05 -4.8e-05  1.3e-05]
3->4:,0.596661,0.058,-,-,-,-,[-1.363461 -1.435066 -0.152176]
1->5:,1.427088,0.001,-,-,-,-,[ 0.007135  0.008543 -0.144498]
2->5:,1.205594,0.0,-,-,-,-,[ 0.000311  0.000288 -0.005477]
3->5:,1.016804,0.08,-,-,-,-,[ 1.303062 -1.236713 -0.012143]
4->5:,0.420143,0.0,-,-,-,-,[-5.700e-05 -2.110e-04  2.432e-03]
1->6:,1.789481,0.001,-,-,-,-,[-0.005561 -0.006699  0.113   ]
2->6:,1.567987,0.0,-,-,-,-,[-0.000301 -0.000283  0.005373]
3->6:,1.379196,0.054,-,-,-,-,[-0.918118  0.871736  0.008581]
4->6:,0.782536,0.0,-,-,-,-,[ 2.100e-05  1.370e-04 -1.528e-03]
5->6:,0.362393,0.0,-,-,-,-,[-8.0e-06  1.8e-05  3.4e-05]
1->7:,2.702578,0.001,-,-,-,-,[0.073287 0.077074 0.008176]
2->7:,2.481084,0.0,-,-,-,-,[0.004659 0.004865 0.000514]
3->7:,2.292293,0.0,-,-,-,-,[-5.e-06 -6.e-06 -6.e-06]
4->7:,1.695633,0.0,-,-,-,-,[-8.90e-05 -1.16e-04 -1.20e-05]
5->7:,1.27549,0.0,-,-,-,-,[ 1.167e-03 -1.114e-03 -1.000e-05]
6->7:,0.913097,0.0,-,-,-,-,[-2.2e-04  2.2e-04  2.0e-06]
1->8:,3.336909,0.0,-,-,-,-,[ 0.033926 -0.032158 -0.000316]
2->8:,3.115415,0.047,-,-,-,-,[-0.570857  0.542124  0.005327]
3->8:,2.926624,0.0,-,-,-,-,[ 0.000193  0.000113 -0.002963]
4->8:,2.329964,0.133,-,-,-,-,[-1.106175  1.050945  0.010404]
5->8:,1.909821,0.03,-,-,-,-,[0.547611 0.575353 0.061057]
6->8:,1.547428,0.036,-,-,-,-,[-0.667957 -0.702623 -0.074526]
7->8:,0.634331,0.0,-,-,-,-,[ 0.000421  0.000572 -0.009164]
1->9:,3.615446,0.0,-,-,-,-,[ 0.02274  -0.021657 -0.000216]
2->9:,3.393952,0.11,-,-,-,-,[-0.833144  0.791297  0.007796]
3->9:,3.205162,0.0,-,-,-,-,[-0.000235 -0.000279  0.005065]
4->9:,2.608501,0.202,-,-,-,-,[ 1.290071 -1.225933 -0.012164]
5->9:,2.188358,0.151,-,-,-,-,[-1.153406 -1.212592 -0.128648]
6->9:,1.825965,0.032,-,-,-,-,[0.585073 0.615186 0.065263]
7->9:,0.912868,0.0,-,-,-,-,[ 0.001489  0.001792 -0.030249]
8->9:,0.278537,0.0,-,-,-,-,[-1.0e-05 -2.0e-05  4.5e-05]
1->10:,3.74552,0.0,-,-,-,-,[-1.e-06 -0.e+00  7.e-06]
2->10:,3.524026,0.0,-,-,-,-,[-4.80e-05 -5.00e-05 -1.07e-04]
3->10:,3.335236,0.0,-,-,-,-,[0.000899 0.000944 0.0001  ]
4->10:,2.738575,0.0,-,-,-,-,[-1.1e-05 -1.1e-05 -5.4e-05]
5->10:,2.318432,0.0,-,-,-,-,[ 0.001935  0.002447 -0.040417]
6->10:,1.956039,0.0,-,-,-,-,[-0.001495 -0.001885  0.031168]
7->10:,1.042942,0.103,-,-,-,-,[-1.381324 -1.454623 -0.154215]
8->10:,0.408611,0.0,-,-,-,-,[-7.03e-04  6.70e-04  6.00e-06]
9->10:,0.130074,0.0,-,-,-,-,[-4.88e-04  4.70e-04  4.00e-06]
